case,n,AP_corrupted,AP_semantic1,AP_semantic3,AP_oracle1,cosine_mean,cosine_median,positive_alignment_pct,loss_decrease_pct,loss_delta_sem1,loss_delta_sem3,loss_delta_oracle,semantic_loss_3,saturation_before_pct,saturation_3_pct,adapt_seconds_3,peak_memory_mb
gamma_s1,2,39.05940594059406,39.05940594059406,39.05940594059406,39.55940594059406,-0.013803660869598389,-0.013803660869598389,50.0,0,0.0190771222114563,0.0131864994764328,-0.004883170127868652,-0.0009087395155802369,0.8949112612754107,1.2743701227009296,0.10745705349836498,830.271728515625
gamma_s2,2,33.47807637906648,32.71617161716171,36.38283828382838,31.54950495049505,0.027231484651565552,0.027231484651565552,50.0,0,0.019542977213859558,0.004665777087211609,0.013650044798851013,-0.0010073157027363777,1.0861266404390335,4.65768463909626,0.09130137099418789,834.07421875
contrast_s1,2,50.84950495049505,48.84950495049505,48.84950495049505,48.84950495049505,-0.05565069615840912,-0.05565069615840912,50.0,50.0,0.005709007382392883,0.011528164148330688,-0.0005606561899185181,-0.0010324114991817623,0.0,0.0,0.10817437399964547,834.064208984375
contrast_s2,2,50.362093352192346,42.73927392739274,42.36209335219235,50.73927392739274,0.1137852743268013,0.1137852743268013,50.0,50.0,-0.006777472794055939,0.004942357540130615,-0.01231730729341507,-0.00014600867871195078,0.0,0.0,0.11819489850313403,834.064208984375
color_cast_s1,2,44.554455445544555,44.554455445544555,44.554455445544555,44.554455445544555,0.4585629180073738,0.4585629180073738,100.0,50.0,0.0026967674493789673,0.018267452716827393,0.005840376019477844,-0.0015705761325079948,4.542727023363113,0.15957432333379984,0.11997801801044261,834.064208984375
color_cast_s2,2,54.54455445544555,54.54455445544555,54.54455445544555,54.54455445544555,0.01054045557975769,0.01054045557975769,50.0,100,-0.008776605129241943,-0.0040426552295684814,-0.008286654949188232,-0.001955231768079102,6.86449334025383,0.04747185287214961,0.11992625850689365,834.064208984375
