coordinate	native_total_gradient	sum_component_gradients	absolute_error	predeclared_bound	error_over_bound
0	0.0027359876616436084	0.002727279653063167	8.708008580441545e-06	1.9298045723404037e-06	4.512378458032544
1	0.003641625960916779	0.00369373037932544	5.210441840866088e-05	3.807988038226809e-06	13.682925966575075
2	-0.0910755486344357	-0.09111092498458383	3.537635014812246e-05	9.326795198604772e-06	3.792980267585862
3	0.032919828027007825	0.0329336439706658	1.3815943657978502e-05	3.9587569037019076e-06	3.489970208844841
4	-0.03509479316876036	-0.035088899692498926	5.8934762614329395e-06	3.6088899692498927e-06	1.633044041699586
5	-0.014008066656720684	-0.013990285063820843	1.778159289984177e-05	1.6013553433812855e-06	11.104089403602122
6	-0.006764797854258594	-0.006760865881639391	3.931972619202612e-06	1.0245286786622067e-06	3.8378355834185554
7	-0.014210691998952783	-0.014211605623655692	9.136247029091493e-07	1.7566664816352856e-06	0.5200900184869774
