episode_index	image_id	case	block	S_hard	S_native	Delta	norm_hard	norm_native	norm_ratio	gradient_cosine	integrity_passed	S_loss_classifier	norm_loss_classifier	cos_task_loss_classifier	S_loss_box_reg	norm_loss_box_reg	cos_task_loss_box_reg	S_loss_objectness	norm_loss_objectness	cos_task_loss_objectness	S_loss_rpn_box_reg	norm_loss_rpn_box_reg	cos_task_loss_rpn_box_reg
0	304815	clean_s0	0	0.12876752443163922	0.1584063758766501	0.029638851445010883	0.24671725211975187	0.10524559593663026	0.42658385269930793	0.8634754690825475	True	0.17439998311249935	0.08650882631462149	0.9069984887252531	-0.0936374685798589	0.023909251550678915	-0.48697850181428065	0.14082718411750994	0.004687233706705751	0.73239710756964	0.1822860282822581	0.017363172665131328	0.9480112854638124
1	304815	gamma_s2	0	-0.07049086408302814	0.04931014910612504	0.11980101318915318	0.06454601433400373	0.05593364617407511	0.8665701012093089	-0.6092392462343155	True	0.024406074219022297	0.08272502154932926	0.3330891522797167	0.008706111538045866	0.045556246863213745	0.11881924499060746	0.02868730582497118	0.00257954744008903	0.39151853330716524	0.051023064730347976	0.005225554231352601	0.6963524419484632
2	131976	clean_s0	0	0.09015141369818053	-0.05499559326122806	-0.14514700695940858	0.17482201434706843	0.12746240345490698	0.7290981283504722	-0.45311354343255444	True	-0.11787871174531181	0.031883176321184356	-0.6496138057812931	-0.06595586034091175	0.03598068637089272	-0.3634739200582597	-0.009642147249124275	0.07891857833843019	-0.05313658316714064	-0.0088993157674	0.0138706955566411	-0.04904293828080092
3	131976	contrast_s2	0	1.183044583054651	-0.37795567639993305	-1.561000259454584	0.42544132897267123	0.3128757344946652	0.7354145288380368	0.5831138472010079	True	0.07443921447483759	0.1313128345158366	0.03600553795125223	-0.367303417835517	0.15713185635457608	-0.17766115942767233	-1.5799785014292613	0.030938253477718666	-0.7642205294362565	-0.8323386850637012	0.0254558516517047	-0.40259428213654475
4	507312	clean_s0	0	0.05757656885780577	0.054024721314026324	-0.003551847543779449	0.7475397530289775	0.04113858575589747	0.055031970660030946	0.6268734061033971	True	0.06299693072266224	0.03647407509106442	0.9692967755547921	0.013605105859753747	0.01779531978833686	0.20933377372584352	-0.02453761913732354	0.008339096461208681	-0.37754593499970757	-0.02991532473323041	0.003725717145553954	-0.46028953280657936
5	507312	color_cast_s2	0	0.05958927037826302	0.06590465657129857	0.006315386193035552	1.4056603945771902	0.09492911198269612	0.06753346138862362	0.9430533884730901	True	0.06509510229942861	0.07559111448995424	0.9544556590166069	0.05582961541405725	0.021767169716792822	0.8186006395580788	-0.04259930793705847	0.0008180058329119201	-0.6246115167444899	0.027263789842305316	0.00571155161926999	0.39975478317464763
6	517967	clean_s0	0	-0.08296657413629814	-0.09106949475013265	-0.00810292061383451	1.1282807939266624	0.27728417768184166	0.24575812969113164	0.9822012379557149	True	-0.08903659055948943	0.2178122128439326	-0.9032064973757369	-0.0941765626004117	0.057615060190968466	-0.9553474892488996	-0.025760239703006282	0.0014378538978266646	-0.2613174622206684	-0.06269581272225422	0.0063205237906409206	-0.635999930611184
7	517967	gamma_s2	0	-0.18866619476121319	-0.0928066470664153	0.09585954769479789	0.12093594806156253	0.045570950668477626	0.3768188979283455	0.6562677796604452	True	0.0871678431572879	0.02072322850727223	0.40477790568860855	-0.15119539786372918	0.04196444253374469	-0.7021001584851595	-0.16314271915283446	0.0018016603267621877	-0.7575794677096424	0.162996959926123	0.0037127473752533433	0.756902611070017
8	27717	clean_s0	0	0.03780162171604032	0.038821777512351587	0.0010201557963112687	1.054334912297661	0.29512285684951434	0.2799137668754299	0.9713158402323836	True	0.040444225521854164	0.27306040725037917	0.8011793281552277	0.0036033644923006247	0.062369935853000345	0.07138079925688193	0.02969094441359367	0.014193530002848087	0.5881623542602451	-0.025005119676097993	0.009123040924410556	-0.4953385737065138
9	27717	contrast_s2	0	0.29163548601751754	0.2412170987720134	-0.050418387245504154	2.7260841083072713	0.48396745428861354	0.17753210651637863	0.8488678094857485	True	0.27093972279100115	0.3608004700562494	0.9223843381704321	0.12668047457926132	0.14855565550260083	0.4312696731977753	0.15296727142646985	0.0020921811979799313	0.5207601677230896	-0.025188052758650444	0.005654088617309802	-0.08574994149365112
10	74938	clean_s0	0	0.021922515701364075	0.05009899480509054	0.028176479103726462	0.1821891774142625	0.07636561813467552	0.4191556228449018	0.3488717435253651	True	0.05107770744773489	0.03366282938051779	0.9846729443399881	-0.00851700332582821	0.007114040870559995	-0.1641902732480287	0.04497339637062175	0.048070861965520024	0.8669944058501199	0.005050208052014006	0.0007171142587119755	0.09735760446925486
11	74938	color_cast_s2	0	-0.08825213877317072	-0.07816567432592413	0.01008646444724659	2.357845904862219	0.34794092247804764	0.14756728663249077	0.9896798253798392	True	-0.0758213505977077	0.22957597295531704	-0.6329778301692771	-0.08320391981926145	0.15931840195514635	-0.6946095817827339	0.08165677306959906	0.04927275994534948	0.6816935682309829	-0.0693240857076794	0.008164118591045058	-0.5787368466663295
12	347235	clean_s0	0	-0.0377136703923751	-0.04384747565378916	-0.006133805261414056	2.4004668676490346	0.18588675356800394	0.07743775016151645	0.9496306109946822	True	-0.043021953303429575	0.223689558559567	-0.8426185224068318	0.027844438239039843	0.04679945932312171	0.5453550479483726	-0.04753913434068996	0.0009648938195816602	-0.9310910384162987	0.04772933348436943	0.0044937410243956945	0.9348162362871184
