image_id,case,half_phi3,full_phi3,phi3_ratio,same_original_support,half_update_norm_0,full_update_norm_0,half_update_norm_1,full_update_norm_1,half_update_norm_2,full_update_norm_2
776,gamma_s1,0.008209570311009884,0.016368897631764412,0.5015347090373959,True,0.03583899885416031,0.07167800515890121,0.023338494822382927,0.04731898754835129,0.02371574379503727,0.04815634340047836
776,gamma_s2,0.00795094296336174,0.014078246429562569,0.564767991748301,True,0.046865709125995636,0.09373141080141068,0.03717132285237312,0.07900699973106384,0.040084052830934525,0.09310674667358398
776,contrast_s1,0.007377217523753643,0.01460622251033783,0.5050736094518811,True,0.024703092873096466,0.049406182020902634,0.0246198121458292,0.04885511472821236,0.02449539303779602,0.04810735955834389
776,contrast_s2,0.00823927391320467,0.015054122544825077,0.5473101397090033,True,0.032562244683504105,0.0651244968175888,0.026803256943821907,0.04470384120941162,0.02314959280192852,0.040942829102277756
776,color_cast_s1,0.008181008510291576,0.016451237723231316,0.49728832856988714,True,0.026616498827934265,0.05323299020528793,0.027611317113041878,0.05562054365873337,0.027718693017959595,0.05584806203842163
776,color_cast_s2,0.008276479318737984,0.01673598773777485,0.49453187038713686,True,0.02629728429019451,0.05259456858038902,0.02808658964931965,0.05687416344881058,0.028434770181775093,0.05817320942878723
776,clean_s0,0.005696715321391821,0.011289737187325954,0.5045923768524079,True,0.019122827798128128,0.03824565187096596,0.018964668735861778,0.03778479993343353,0.018907107412815094,0.036994483321905136
1353,gamma_s1,0.025194678455591202,0.02762230858206749,0.9121134238558064,True,0.08279852569103241,0.16559702157974243,0.09440319985151291,0.1699432134628296,0.09096643328666687,0.06765597313642502
1353,gamma_s2,0.03724488988518715,0.0728006660938263,0.5116009493262813,True,0.12029122561216354,0.2405824065208435,0.13406755030155182,0.269488126039505,0.122072234749794,0.23070339858531952
1353,contrast_s1,0.006671487353742123,0.013277487829327583,0.5024660869209013,True,0.02232506312429905,0.04465016722679138,0.022222626954317093,0.044571418315172195,0.022300807759165764,0.044112712144851685
1353,contrast_s2,0.012589474208652973,0.0194194745272398,0.6482911878482422,True,0.05657171458005905,0.11314339190721512,0.04101746529340744,0.04861884191632271,0.056704070419073105,0.0903882160782814
1353,color_cast_s1,0.031729571521282196,0.06595031172037125,0.48111329110642126,True,0.07468920201063156,0.14937838912010193,0.11320049315690994,0.2551812529563904,0.13112740218639374,0.28904348611831665
1353,color_cast_s2,0.007214200217276812,0.014738451689481735,0.48948155269425675,True,0.014609700068831444,0.02921939454972744,0.06444323062896729,0.12473786622285843,0.016953909769654274,0.032924287021160126
1353,clean_s0,0.027346692979335785,0.04638519510626793,0.589556493546806,True,0.09022484719753265,0.1804496794939041,0.10456225275993347,0.21105220913887024,0.09655788540840149,0.12684988975524902
