group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_global_generic,AP50_delta_global_generic,AP75_delta_global_generic,AP_delta_det_pseudo,AP50_delta_det_pseudo,AP75_delta_det_pseudo
aggregate,source,no_adapt,gamma_s1,36.89313250897423,58.45976369009905,40.20299341446007,0.0,0.0,0.0,0.16093201414872915,0.3305722134968603,0.25806409540438113,-0.12788237169493732,0.025674774562334246,-0.07786819918847998
aggregate,source,no_adapt,gamma_s2,35.29640495926713,56.23940572343311,37.034281480713936,0.0,0.0,0.0,0.41551210199452515,0.3477874032314143,0.49969732442711745,0.09789755075675366,0.25232946422594216,-1.1075585374119568
aggregate,source,no_adapt,contrast_s1,36.010448247016846,57.101974580571515,38.896678856219324,0.0,0.0,0.0,-0.0955279821324928,-0.030029488949001593,-0.0653088135584734,0.08842772723418602,0.1824096498015071,0.1802463986181002
aggregate,source,no_adapt,contrast_s2,31.14807324638586,50.38569025984197,32.8715351819676,0.0,0.0,0.0,0.11954762776535954,0.07305249229659916,0.09993189947054004,-0.015807241408521966,-0.0651853806661773,-0.05432545774985975
aggregate,source,no_adapt,color_cast_s1,36.533427662095406,58.20825233849129,39.99014949553724,0.0,0.0,0.0,-0.11412057981131096,0.037983842135902446,0.14016739941579703,-0.1336045280801501,0.20465951140351546,0.09478030686499994
aggregate,source,no_adapt,color_cast_s2,35.657998610988784,56.84824611506449,37.998965498300116,0.0,0.0,0.0,-0.019327727404461204,0.026725698916396645,-0.05369251691553778,0.6480817174817244,0.8986319992721148,0.8741120308801975
aggregate,source,no_adapt,clean_s0,37.57784341727398,59.43137286572653,40.281906676511234,0.0,0.0,0.0,0.07564989888891316,0.13828476706364556,-0.0033904148833141523,0.24905875260261556,0.4283476001242903,0.20114087785808032
aggregate,source,global_generic,gamma_s1,36.7322004948255,58.129191476602195,39.94492931905568,-0.16093201414872915,-0.3305722134968603,-0.25806409540438113,0.0,0.0,0.0,-0.2888143858436665,-0.30489743893452603,-0.3359322945928611
aggregate,source,global_generic,gamma_s2,34.880892857272606,55.891618320201694,36.53458415628682,-0.41551210199452515,-0.3477874032314143,-0.49969732442711745,0.0,0.0,0.0,-0.3176145512377715,-0.09545793900547217,-1.6072558618390742
aggregate,source,global_generic,contrast_s1,36.10597622914934,57.13200406952051,38.9619876697778,0.0955279821324928,0.030029488949001593,0.0653088135584734,0.0,0.0,0.0,0.18395570936667882,0.21243913875050868,0.2455552121765736
aggregate,source,global_generic,contrast_s2,31.0285256186205,50.312637767545375,32.77160328249706,-0.11954762776535954,-0.07305249229659916,-0.09993189947054004,0.0,0.0,0.0,-0.1353548691738815,-0.13823787296277645,-0.1542573572203998
aggregate,source,global_generic,color_cast_s1,36.64754824190672,58.17026849635539,39.849982096121444,0.11412057981131096,-0.037983842135902446,-0.14016739941579703,0.0,0.0,0.0,-0.019483948268839146,0.166675669267613,-0.04538709255079709
aggregate,source,global_generic,color_cast_s2,35.67732633839324,56.8215204161481,38.052658015215655,0.019327727404461204,-0.026725698916396645,0.05369251691553778,0.0,0.0,0.0,0.6674094448861856,0.8719063003557181,0.9278045477957353
aggregate,source,global_generic,clean_s0,37.50219351838507,59.293088098662885,40.28529709139455,-0.07564989888891316,-0.13828476706364556,0.0033904148833141523,0.0,0.0,0.0,0.1734088537137024,0.29006283306064473,0.20453129274139448
aggregate,source,det_pseudo,gamma_s1,37.02101488066917,58.43408891553672,40.28086161364855,0.12788237169493732,-0.025674774562334246,0.07786819918847998,0.2888143858436665,0.30489743893452603,0.3359322945928611,0.0,0.0,0.0
aggregate,source,det_pseudo,gamma_s2,35.19850740851037,55.98707625920717,38.1418400181259,-0.09789755075675366,-0.25232946422594216,1.1075585374119568,0.3176145512377715,0.09545793900547217,1.6072558618390742,0.0,0.0,0.0
aggregate,source,det_pseudo,contrast_s1,35.92202051978266,56.91956493077001,38.71643245760122,-0.08842772723418602,-0.1824096498015071,-0.1802463986181002,-0.18395570936667882,-0.21243913875050868,-0.2455552121765736,0.0,0.0,0.0
aggregate,source,det_pseudo,contrast_s2,31.163880487794383,50.45087564050815,32.925860639717456,0.015807241408521966,0.0651853806661773,0.05432545774985975,0.1353548691738815,0.13823787296277645,0.1542573572203998,0.0,0.0,0.0
aggregate,source,det_pseudo,color_cast_s1,36.66703219017556,58.00359282708778,39.89536918867224,0.1336045280801501,-0.20465951140351546,-0.09478030686499994,0.019483948268839146,-0.166675669267613,0.04538709255079709,0.0,0.0,0.0
aggregate,source,det_pseudo,color_cast_s2,35.00991689350706,55.94961411579238,37.124853467419925,-0.6480817174817244,-0.8986319992721148,-0.8741120308801975,-0.6674094448861856,-0.8719063003557181,-0.9278045477957353,0.0,0.0,0.0
aggregate,source,det_pseudo,clean_s0,37.32878466467137,59.00302526560224,40.080765798653154,-0.24905875260261556,-0.4283476001242903,-0.20114087785808032,-0.1734088537137024,-0.29006283306064473,-0.20453129274139448,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,gamma_s1,37.117889545923525,58.64126090007862,40.384838448356064,0.22475703694929683,0.1814972099795642,0.18184503389599982,0.385689051098026,0.5120694234764245,0.43990912930038095,0.0968746652543595,0.20717198454189845,0.10397683470751984
aggregate,source,det_pseudo_clip_radius,gamma_s2,35.27810228880815,56.18294246634142,37.92843189922061,-0.018302670458980597,-0.05646325709168787,0.8941504185066784,0.39720943153554455,0.29132414613972646,1.3938477429337959,0.07959488029777306,0.1958662071342543,-0.21340811890527833
aggregate,source,det_pseudo_clip_radius,contrast_s1,35.97819552769268,57.167889312997374,38.96042989467244,-0.03225271932416618,0.06591473242586465,0.0637510384531137,-0.12778070145665898,0.03588524347686306,-0.0015577751053597044,0.056175007910019836,0.24832438222737174,0.2439974370712139
