episode_index	image_id	case	block	route	S_hard	S_route	Delta	norm_hard	norm_cal	cos_hard_task	cos_cal_task	norm_preservation_error	integrity_passed
360	345244	clean_s0	0	0	-0.1212546930718074	0.014225417479332403	0.13548011055113982	1.1234222884154124	1.123422288415412	-0.7546534960760735	0.08853480852541046	4.440892098500626e-16	True
361	345244	gamma_s2	0	0	-0.01856609519932639	-0.04887492120740679	-0.030308826008080398	1.264989635714168	1.2649896357141681	-0.19680662252495765	-0.5180899950007876	2.220446049250313e-16	True
362	572495	clean_s0	0	1	0.5810550413132611	0.49326039717062786	-0.08779464414263327	0.3620075087208702	0.3620075087208703	0.9717106186841938	0.8248897808782216	1.1102230246251565e-16	True
363	572495	contrast_s2	0	0	0.6968583733941857	-0.3400873036092577	-1.0369456770034433	3.5354471140428836	3.5354471140428845	0.5040198277535628	-0.2459764433215059	8.881784197001252e-16	True
364	205338	clean_s0	0	1	0.051482951344211166	0.018673881706302648	-0.032809069637908514	0.36351374312483636	0.3635137431248365	0.6466827760668727	0.23456459558886658	1.1102230246251565e-16	True
365	205338	color_cast_s2	0	0	0.14477595311702413	0.052462149869611244	-0.09231380324741288	0.6150851771863788	0.6150851771863786	0.9883089766379957	0.3581313922206033	2.220446049250313e-16	True
366	547742	clean_s0	0	0	0.10885379602667933	0.06358615700443196	-0.04526763902224737	0.382734721814276	0.382734721814276	0.6872703014396794	0.40146397173981835	0.0	True
367	547742	gamma_s2	0	0	0.4033044137857002	-0.012309232488175219	-0.4156136462738754	0.20956222963035886	0.20956222963035873	0.5388228828229829	-0.016445384448832572	1.3877787807814457e-16	True
368	514082	clean_s0	0	0	0.004480119896006323	0.01844461273380865	0.013964492837802326	0.3294263273785756	0.32942632737857547	0.09594842860354691	0.39501880509659765	1.1102230246251565e-16	True
369	514082	contrast_s2	0	0	0.22823413533699063	0.1444778161420966	-0.08375631919489404	0.5585174029017977	0.558517402901798	0.8254878446698963	0.5225540906650841	2.220446049250313e-16	True
370	333480	clean_s0	0	0	0.1589162405081297	-0.16857814570824456	-0.3274943862163743	0.012218259270220229	0.012218259270220227	0.4223291133319539	-0.448006186003788	1.734723475976807e-18	True
371	333480	color_cast_s2	0	1	0.46730025378122514	0.24068637518050826	-0.22661387860071688	0.4548249470483445	0.4548249470483444	0.7315579906286499	0.3767942336303097	5.551115123125783e-17	True
