episode_index	image_id	case	block	support_count	S_hard	S_obj	Delta	norm_hard	norm_obj	cos_hard_task	cos_obj_task	abstain	integrity_passed
480	270686	clean_s0	0	2	-0.0383386235729035	-0.04331340711361918	-0.004974783540715684	0.6565922287116276	0.9999999999990135	-0.6813455264863313	-0.7697562777028734	False	True
481	270686	gamma_s2	0	3	-0.009704694953355105	-0.008246175526292	0.0014585194270631055	0.8599315625505183	0.9999999999990398	-0.23990720723600345	-0.20385153272707968	False	True
482	151227	clean_s0	0	2	0.03089345947468132	0.029413449278433403	-0.0014800101962479176	0.021464140047401686	0.9999999999990326	0.7398321953150458	0.7043891205610224	False	True
483	151227	contrast_s2	0	2	0.25383957350758946	0.25623034168479847	0.002390768177209013	1.6356594918452665	0.9999999999990136	0.9678178010950707	0.9769331173884078	False	True
484	432762	clean_s0	0	4	-0.026976540803647264	-0.024693660747090642	0.0022828800565566215	0.046820461573575105	0.9999999999990083	-0.7200614538167885	-0.6591265124267719	False	True
485	432762	color_cast_s2	0	4	-0.027106174799431382	-0.025330528654695535	0.001775646144735847	0.05690268296129093	0.9999999999990112	-0.8669306238897958	-0.8101405370620577	False	True
486	418586	clean_s0	0	3	0.0311502619175143	0.0716618519479916	0.0405115900304773	0.02218292977222397	0.9999999999990244	0.13591459910791423	0.312674477800655	False	True
487	418586	gamma_s2	0	3	-0.10716546648405387	-0.0704889532190636	0.036676513264990274	0.015428320037611368	0.9999999999990326	-0.5133535141907644	-0.33766243017948977	False	True
488	231153	clean_s0	0	2	0.29964744147786065	0.2989457912632265	-0.0007016502146341419	0.45711649584538105	0.9999999999990049	0.9964248786658417	0.9940916642492934	False	True
489	231153	contrast_s2	0	2	-0.08669037178042664	-0.08591570588361357	0.000774665896813076	0.020294401970749745	0.9999999999990035	-0.8082870368551733	-0.8010641770060267	False	True
490	72549	clean_s0	0	2	0.0714534515968064	0.07352477021956798	0.002071318622761581	0.6993341169248669	0.99999999999901	0.9580886653677344	0.985862087791049	False	True
491	72549	color_cast_s2	0	2	0.11494295243982847	0.11805578259244831	0.0031128301526198443	0.4675954108977269	0.9999999999990064	0.8581869905932483	0.8814280008864825	False	True
492	569069	clean_s0	0	12	0.19417309132613464	0.1993530798404544	0.00517998851431975	0.2316425931142522	0.9999999999990289	0.6020924780945281	0.6181546013237862	False	True
493	569069	gamma_s2	0	7	0.850880579590552	0.8782423192313369	0.02736173964078492	0.08023943286723684	0.999999999999006	0.9161788903668437	0.9456404256923249	False	True
494	105172	clean_s0	0	1	-0.012713187548837174	-0.009116136550510266	0.003597050998326908	6.221292360080903e-05	0.9999999999990179	-0.509670153988902	-0.3654648078584639	False	True
