episode	image_id	case	repetition	chain_relative	chain_cosine	chain_passed	scalar_self_noise	scalar_min_cosine	multi_relative	sep_relative	rev_relative	integrity_passed	old_additivity_passed	cotangent_sha256
0	27717	clean_s0	0	5.05841174654548e-07	0.999999999999873	True	0.0003792386115010438	0.9999999272144345	0.0004306649894786799	0.00045660958128253574	0.0004536068921091145	True	False	cc400f47db37499bf157639c3a0e50110338698f1a854a61df532c77620dcd94
0	27717	clean_s0	1	5.933491724271667e-07	0.9999999999998276	True	0.00039518801870774714	0.9999999185787924	0.000423817387828345	0.00044765727075159336	0.0004506042266154851	True	False	728271002bed45c83031949a1bedd6968dfeaf9e1c104b486465da8adf141d0d
0	27717	clean_s0	2	3.5059112822118437e-07	0.9999999999999427	True	0.00040693452899470125	0.9999999149088779	0.0004050730093474106	0.0004605309861025651	0.00045473968980494256	True	False	c9894531015d90ef8f10be0ce880b229a3b77e1d8aa26ad7ee3738c5af3e92f1
0	27717	clean_s0	3	6.636235557790431e-07	0.9999999999998007	True	0.0004173535019641564	0.9999999115261532	0.00039434581128882913	0.00045357877901214353	0.0004633648185958123	True	False	25dcc3d2f36c7852369c703e3621e055c62cac24cc4d80246106d7675029c76b
0	27717	clean_s0	4	5.708899201038698e-07	0.9999999999998433	True	0.00041198065682839766	0.9999999146742862	0.00041722906082651594	0.00045148768699023107	0.0004511583829166106	True	False	91b3f54857ee4c436a11077ad4cc5cae1813a294ee8051a7fd42809be6adef92
1	27717	contrast_s2	0	4.205046099726461e-07	0.9999999999999146	True	0.0003998272980375596	0.9999999188855644	0.0004360371420763175	0.0004683806818977885	0.00045859189934204745	True	False	1ce8c185325de8fcd2b44da7a5602d9248f2e757b6bfa1d3aaea9b399f7b4fe4
1	27717	contrast_s2	1	6.87147495874488e-07	0.9999999999997822	True	0.0003859343685914517	0.9999999213743157	0.00037479254897576636	0.0004760313423301883	0.00046593345068000246	True	False	04044f060f800b2642686322921084ce02509ecb6cef994ab24eb41494ed7446
1	27717	contrast_s2	2	4.998231447016475e-07	0.9999999999999012	True	0.0004167405731334494	0.9999999077320192	0.00042647301019748936	0.0004673703810257005	0.00047124785527566095	True	False	01b35b43f7a23110896fe98af465978cb487a5ef686a32491ddabc18db8cae15
1	27717	contrast_s2	3	2.6920628730116965e-07	0.9999999999999661	True	0.0004019834963234128	0.999999915379439	0.00042248871760436514	0.00047478829405141367	0.00047859955389830197	True	False	8895ef1ad7dfb589c5b643009aa75ebd6e17f47937b0a01248a9a2839de66f20
1	27717	contrast_s2	4	4.771675926632526e-07	0.9999999999998943	True	0.0004060378853036265	0.9999999148148399	0.00037430235338540755	0.0004685853798375098	0.00047158327059762577	True	False	32e5a75096f4d0b5f18156aee4c2fd83f715dca7a684a263e7a4552cb51102a1
2	74938	clean_s0	0	5.405549881736067e-07	0.9999999999998779	True	0.0004146394304866975	0.9999999114384664	0.0004114862815980594	0.0005141032372222643	0.0005121797069763031	True	False	15fefa59cf37ecb9b4667bf3b8d04dca79d809489ff988ebd186ab540812e349
2	74938	clean_s0	1	3.6825487587734046e-07	0.9999999999999782	True	0.0004252399699044236	0.9999999072957863	0.0004128273337455353	0.0005210149343137556	0.0005186358338683522	True	False	6b09add56b4175f3c4f70ad9ad704632882bbe9741f502fc360de1545d4fef1f
