episode	image_id	case	support_count	native_loss	native_norm	native_chain_rel	native_chain_cos	component_sum_diagnostic	multi_relative	rng_restored
0	304815	clean_s0	4	0.2728840112686157	0.10524559593663026	4.257933423888924e-07	0.9999999999999671	False	0.00019207645359237274	True
1	304815	gamma_s2	4	0.26736655831336975	0.05593364617407511	4.1346149544803693e-07	0.9999999999999165	False	0.0003094995466283689	True
2	131976	clean_s0	18	0.7095829248428345	0.12746240345490698	4.987652114298973e-07	0.9999999999998839	False	0.00034296599084000426	True
3	131976	contrast_s2	7	0.4538360834121704	0.3128757344946652	6.372249981238966e-07	0.9999999999998256	False	0.00033265013542533195	True
4	507312	clean_s0	2	0.08798843622207642	0.04113858575589747	5.144879905887045e-07	0.9999999999998678	False	0.0005969479584698834	True
5	507312	color_cast_s2	2	0.11239089071750641	0.09492911198269612	3.9088691361386346e-07	0.9999999999999353	False	0.00028286567691892373	True
6	517967	clean_s0	5	0.35918495059013367	0.27728417768184166	1.9392293571825372e-07	0.9999999999999885	False	0.00024624598819925964	True
7	517967	gamma_s2	3	0.16936804354190826	0.045570950668477626	6.58530496000742e-07	0.9999999999997874	False	0.00024200606279160063	True
8	27717	clean_s0	4	0.4456283748149872	0.29512285684951434	4.747124287937249e-07	0.9999999999998912	False	0.0004229832139296522	True
9	27717	contrast_s2	4	0.56321120262146	0.48396745428861354	6.55973082439546e-07	0.9999999999997892	False	0.0005097763661837219	True
10	74938	clean_s0	1	0.06424553692340851	0.07636561813467552	3.8053886544164044e-07	0.9999999999999448	False	0.00031207002294786877	True
11	74938	color_cast_s2	3	0.1927964985370636	0.34794092247804764	3.5704229962470395e-07	0.9999999999999364	False	0.0002872284623438624	True
12	347235	clean_s0	2	0.0807354673743248	0.18588675356800394	5.011072415616049e-07	0.999999999999887	False	0.00024119212848965456	True
13	347235	gamma_s2	2	0.04242504760622978	0.033453553391114	4.287314491240768e-07	0.9999999999999397	False	0.0004812103793004615	True
14	413056	clean_s0	18	0.5692972540855408	0.13443913508142688	4.7619914196339267e-07	0.9999999999998936	False	0.0006244077279806517	True
15	413056	contrast_s2	15	0.4177897870540619	0.3409596463014082	2.8225940960445135e-07	0.999999999999962	False	0.00029476170208460225	True
16	574579	clean_s0	1	0.03562895953655243	0.010217606784356223	2.2675991407652094e-07	0.9999999999999752	False	0.00041789821519273986	True
17	574579	color_cast_s2	1	0.022636454552412033	0.005610398611546409	7.96847992896922e-07	0.9999999999996958	False	0.000657722622989401	True
18	403948	clean_s0	16	0.6220085620880127	0.289041330997764	2.88675738370645e-07	0.9999999999999741	False	0.0005242577738278906	True
19	403948	gamma_s2	13	0.5187482833862305	0.3270329173772482	1.56100759454046e-07	0.9999999999999943	False	9.529289268268489e-05	True
20	363645	clean_s0	20	0.515544056892395	0.12779012148541663	1.6968877484375269e-07	0.999999999999986	False	0.00018983076459524	True
21	363645	contrast_s2	20	0.5892756581306458	0.1843686085800436	5.389590608365842e-07	0.9999999999998614	False	0.0003208747067634514	True
22	32954	clean_s0	9	0.558129608631134	0.40532979548575593	1.8395188965039168e-07	0.9999999999999865	False	9.820301963103327e-05	True
23	32954	color_cast_s2	8	0.5009010434150696	0.1452071995437459	1.6900796644211434e-06	0.999999999998572	False	0.0007981038092690661	True
24	537864	clean_s0	3	0.1896282583475113	0.24946224953403698	1.8159476012279348e-07	0.9999999999999883	False	0.00040613026731544093	True
25	537864	gamma_s2	5	0.3757493197917938	0.27370409543097435	4.3658500940456043e-07	0.9999999999999069	False	0.0006282461426129165	True
26	549324	clean_s0	2	0.08364502340555191	0.012302853652751054	1.1668725572107838e-06	0.9999999999993304	False	0.001011122479334182	True
27	549324	contrast_s2	2	0.1296016275882721	0.1527343457300932	1.6621222829323983e-07	0.9999999999999866	False	0.00018257226903006332	True
28	146773	clean_s0	9	0.5419267416000366	0.16004157906188787	4.2113298726208623e-07	0.9999999999999513	False	0.00045658993495627454	True
29	146773	color_cast_s2	14	0.5696601271629333	0.14282765454732885	4.5627098255257725e-07	0.999999999999951	False	0.0007836437021401958	True
30	391657	clean_s0	6	0.30082443356513977	0.2770565271904486	1.9582525304082205e-07	0.99999999999999	False	0.00023510407456225806	True
31	391657	gamma_s2	4	0.24188587069511414	0.38793047184055907	2.0201677101491714e-07	0.9999999999999869	False	0.001239206640729154	True
32	215341	clean_s0	20	0.3733396828174591	0.12246216824423176	2.9926082876506396e-07	0.9999999999999734	False	0.0004247018517903541	True
33	215341	contrast_s2	20	0.3426733613014221	0.28688903393032494	2.951309551188544e-07	0.9999999999999591	False	0.00031363041248680097	True
34	141348	clean_s0	4	0.1027134358882904	0.0659575746873014	2.3449690447398638e-07	0.9999999999999807	False	0.00027860447712592834	True
35	141348	color_cast_s2	4	0.1151866614818573	0.12155420276231166	2.1859527971072085e-07	0.9999999999999776	False	0.00019892996881740914	True
36	59666	clean_s0	6	0.40405958890914917	0.13200016690674035	9.94376907582046e-07	0.9999999999996356	False	0.0003648327200918685	True
37	59666	gamma_s2	7	0.5982270240783691	0.8976035886776108	1.9916339375072336e-07	0.9999999999999816	False	0.0006171953731468763	True
38	200495	clean_s0	16	0.5282855033874512	0.10301335289691514	2.767388262405098e-07	0.9999999999999627	False	0.00021549518725672728	True
39	200495	contrast_s2	2	0.15299084782600403	0.32491059081427737	1.7149632049992307e-07	0.9999999999999869	False	0.0002799395060668889	True
40	216044	clean_s0	8	0.6985759139060974	0.5082417826258051	1.857097772103892e-07	0.9999999999999828	False	8.42023445019476e-05	True
41	216044	color_cast_s2	6	0.5578261613845825	0.483281953063909	2.3755313338617928e-07	0.9999999999999872	False	0.0003196153768230355	True
42	153340	clean_s0	4	0.3398820459842682	0.130608038717398	1.3516334721106022e-07	0.9999999999999943	False	0.00024129813805749003	True
43	153340	gamma_s2	3	0.16567879915237427	0.11017943221914446	4.5207904586399546e-07	0.9999999999999001	False	0.00048681464650816836	True
44	353858	clean_s0	5	0.36561402678489685	0.1337211818041297	6.401007826612582e-07	0.9999999999998312	False	0.0003691187208612808	True
45	353858	contrast_s2	3	0.2592652142047882	0.09757922856813646	7.911848024883141e-07	0.9999999999996919	False	0.0003227287273287601	True
46	224548	clean_s0	9	0.42364978790283203	0.371908392775398	1.3785165190626394e-07	0.9999999999999923	False	0.00022828216066812183	True
47	224548	color_cast_s2	7	0.29531142115592957	0.1046318707581113	4.097330917240652e-07	0.9999999999999244	False	0.0003108720134763805	True
48	173445	clean_s0	4	0.08398302644491196	0.10020817797193333	1.2379844336765873e-07	0.9999999999999934	False	0.00026880210926630434	True
49	173445	gamma_s2	4	0.0801258310675621	0.09044458867124769	2.91626346424372e-07	0.999999999999973	False	0.00021755040918943047	True
50	187283	clean_s0	11	0.5331445336341858	0.10343154463692407	4.0929268634979256e-07	0.9999999999999307	False	0.00045095160277106966	True
51	187283	contrast_s2	12	0.6010823845863342	0.39221926459881357	2.87300322440265e-07	0.9999999999999616	False	0.0001743228927238144	True
52	123598	clean_s0	1	0.017612580209970474	0.00595961084202375	1.0839819368248915e-06	0.999999999999507	False	0.0013142159146595602	True
53	123598	color_cast_s2	1	0.0286074448376894	0.005121868260654814	8.08520802790849e-07	0.9999999999996795	False	0.0012046087631086173	True
54	323558	clean_s0	20	0.3873790502548218	0.09892783705981013	4.7279851048744035e-07	0.9999999999998961	False	0.00019551975803169447	True
55	323558	gamma_s2	20	0.45250368118286133	0.07298313072083976	5.544264820036629e-07	0.9999999999998472	False	0.0009517700364266702	True
56	28010	clean_s0	9	0.6297798752784729	0.37756985298832635	4.675044323463735e-07	0.9999999999998982	False	0.00038779335446151395	True
57	28010	contrast_s2	8	0.6937205195426941	0.6204882276332611	4.604838574170981e-07	0.9999999999999369	False	0.0002467007889167493	True
58	579594	clean_s0	2	0.040616512298583984	0.007996984355622901	6.76073361100137e-07	0.9999999999998065	False	0.0006529916614995086	True
59	579594	color_cast_s2	2	0.04967712610960007	0.01118443193540006	7.01922301829989e-07	0.9999999999997614	False	0.0004997105893148118	True
60	238603	clean_s0	2	0.05263235419988632	0.016065656242188767	5.406812257177718e-07	0.9999999999999095	False	0.0002457223198434732	True
61	238603	gamma_s2	2	0.07444498687982559	0.01867513254760596	3.9249019833253647e-07	0.9999999999999288	False	0.00039908141040745544	True
62	447363	clean_s0	10	0.607519805431366	0.25425566650622783	6.376470593948398e-07	0.999999999999808	False	0.00048222584922208574	True
63	447363	contrast_s2	5	0.41093552112579346	0.16466024537114493	1.3405933930891712e-06	0.9999999999995952	False	0.00048111867467852046	True
64	198775	clean_s0	5	0.27645760774612427	0.15979587015894692	3.328358140450256e-07	0.9999999999999544	False	0.00024382805650579445	True
65	198775	color_cast_s2	3	0.18097630143165588	0.13778580772370194	4.342212345418652e-07	0.9999999999999083	False	0.00046717237468614584	True
66	107259	clean_s0	2	0.140941321849823	0.07096882081018066	5.890988427221937e-07	0.9999999999998281	False	0.00039647327960574974	True
67	107259	gamma_s2	3	0.19032235443592072	0.05940357845455506	3.346588178780048e-07	0.9999999999999455	False	0.0003762922419282956	True
68	2755	clean_s0	11	0.6244864463806152	0.19769576067804148	3.8342831998516277e-07	0.9999999999999416	False	0.0004998858347478785	True
69	2755	contrast_s2	13	0.9994626641273499	0.39580197406515666	7.067040348933336e-07	0.9999999999997592	False	0.0006742207616832567	True
70	179209	clean_s0	20	0.7854605913162231	0.11971885238302574	2.408379673519031e-07	0.9999999999999722	False	0.000864445643291332	True
