case,n,AP_corrupted,AP_semantic1,AP_semantic3,AP_oracle1,cosine_mean,cosine_median,positive_alignment_pct,loss_decrease_pct,loss_delta_sem1,loss_delta_sem3,loss_delta_oracle,semantic_loss_3,saturation_before_pct,saturation_3_pct,adapt_seconds_3,peak_memory_mb
gamma_s1,200,38.14549614207573,38.35035044877834,38.6687374310839,38.18013812867759,0.022696944901836106,0.051361700519919395,53.5,48.0,0.002072443002834916,0.002782393116503954,-0.0008254059311002493,-0.0016102367747225798,2.6623739488120464,5.228615770040506,0.1196145795553457,842.037802734375
gamma_s2,200,36.446173880327976,36.598088470568044,36.40730090846623,36.568879066885465,0.0017189373541623353,0.014684274327009916,51.0,47.0,0.007826423831284046,0.01649502869695425,-0.0023134688846766947,-0.002203942964806629,3.9112311602257246,8.329305501202043,0.12125823722977656,842.2020727539062
contrast_s1,200,36.1750410305612,36.368414629986674,36.49735350540984,36.44095816299986,0.11734893975786691,0.2054562345147133,60.5,53.0,-0.0016115496400743723,0.00041980406269431114,-0.00646568595431745,-0.0017793609680120425,0.0,0.0,0.12194304224409279,842.1433154296875
contrast_s2,200,31.175071758530628,31.115214555044567,31.309985213100795,31.58907246420882,0.027414973182312678,-0.008028282783925533,49.5,44.0,0.003218131121248007,0.001592889502644539,-0.01190791416913271,-0.0018063838413945631,0.0,0.0,0.12189668439961679,842.0876782226562
color_cast_s1,200,37.64160087893798,37.66445618851621,37.72337621622074,37.287478097485426,0.04461687075556256,0.07314572855830193,56.00000000000001,46.0,0.0008279588259756565,0.0006709107849746942,-0.0030233907047659157,-0.0017523418248492817,6.2608241490625005,3.4311117560677076,0.12301414331086562,842.0850952148437
color_cast_s2,200,35.908073097476375,35.84637659926324,35.52818631486624,36.048318988935364,0.05801434766501188,0.05636890418827534,52.5,47.5,-0.00101112543605268,-0.00011501462198793888,-0.0019956564158201216,-0.001803012495056464,9.910525043644157,3.83497600188457,0.12392533438040118,842.083740234375
