episode_index	image_id	case	block	S_orig	S_cons	S_flip	Delta_cons	agreement	group	both_nonzero	abstain	integrity_passed	norm_original	norm_flip	original_supports	flip_supports
0	46818	clean_s0	0	-0.10103765183823041	-0.12582191453659688	-0.13992301097066592	-0.024784262698366477	0.8337905237352129	high	True	False	True	0.3472719098461866	0.30390771374804526	13	13
1	46818	gamma_s2	0	2.864134681903636	2.7837393875853578	2.6300547246113135	-0.08039529431827841	0.9476912354473268	high	True	False	True	1.0490664320581655	1.6909747591966242	5	5
2	45131	clean_s0	0	0.034247479499493215	0.09550604626079622	0.12611093214626226	0.061258566761303	0.40958660127522445	low	True	False	True	0.4308984139964112	0.1480814314801672	9	7
3	45131	contrast_s2	0	0.1680528857635791	0.25686109279275915	0.32270975152322795	0.08880820702918005	0.825224693929615	high	True	False	True	0.410318560025683	0.25300259087445726	6	6
4	92244	clean_s0	0	-0.2059433598259025	-0.17253589364712427	-0.10682085360254026	0.03340746617877824	0.6430288880769364	low	True	False	True	1.463739572991398	0.2434707966197053	4	3
5	92244	color_cast_s2	0	0.12967021856346814	0.11809905184273399	0.08767682822233508	-0.011571166720734147	0.693497928224462	low	True	False	True	0.46837547333032864	0.4950532153451996	5	4
6	11712	clean_s0	0	-0.01999937515288948	-0.01921063383739063	-0.01831606677994005	0.0007887413154988483	0.9889977602632816	high	True	False	True	0.01815094691420408	0.027324371286503505	1	1
7	11712	gamma_s2	0	0.011709622801339761	0.011631587682160176	0.011355134444370132	-7.803511917958521e-05	0.9660283804332743	high	True	False	True	0.020182011946345883	0.025541302987304913	1	1
8	75778	clean_s0	0	0.002891728923849142	-0.008291814935987853	-0.016885938416925386	-0.011183543859836994	0.4241887711856099	low	True	False	True	7.540198902729132e-05	7.240080850723346e-05	1	1
9	75778	contrast_s2	0	0.0055269960385418435	0.004538885419646437	0.0033568356436473688	-0.0009881106188954067	0.9154561329591776	high	True	False	True	0.0003878357965866039	0.0007092387217499225	1	1
10	579165	clean_s0	0	-0.12138826446225578	-0.36060538618626453	-0.5023712630657271	-0.23921712172400875	0.4960288554239787	low	True	False	True	0.13698388005545156	0.21309657967363907	13	13
11	579165	color_cast_s2	0	-0.4571518203028631	-0.22000978799414247	0.1015554016187247	0.23714203230872063	0.306173162127018	low	True	False	True	0.2962517196278529	0.31386322680500145	14	16
12	119693	clean_s0	1	0.03925811845416655	0.1035737489136588	0.09956584463771506	0.06431563045949223	-0.10174531954804271	low	True	False	True	0.06711117241422257	0.03604503576406707	7	7
13	119693	gamma_s2	1	0.1185110405589618	0.14537990132147682	0.15944705039630125	0.026868860762515018	0.8277631002832724	high	True	False	True	0.2463559196680734	0.0792617837627389	7	6
14	334083	clean_s0	1	-0.0483404778518042	-0.06801859972927855	-0.01207583106328747	-0.01967812187747435	-0.6055217998491237	low	True	False	True	0.07602616761465286	0.39284993433442456	8	9
15	334083	contrast_s2	1	0.32894404769519986	0.4657419255721042	0.45198941816443333	0.13679787787690434	0.4057477731417288	low	True	False	True	0.47961021728303416	0.16819684865584744	7	5
16	64111	clean_s0	1	0.018960247479118623	0.01956656760533599	0.020051579896253422	0.0006063201262173669	0.98761971778179	high	True	False	True	0.026266068017398725	0.03659089388864149	2	2
17	64111	color_cast_s2	1	0.05693381272783634	0.05921758302761275	0.05919942903126029	0.0022837702997764095	0.9230109066047701	high	True	False	True	0.05546950089363428	0.06803446738037117	2	2
18	326056	clean_s0	1	0.31953733541649637	0.2931318164251841	0.22024206326091933	-0.02640551899131227	0.6954176356150186	low	True	False	True	0.1260399068145993	1.6128564322125836	10	11
19	326056	gamma_s2	1	0.6884277438333061	0.6725241322557782	0.6484343350622221	-0.015903611577527843	0.9757294229701897	high	True	False	True	1.3151351373757123	0.9867214230407247	9	10
20	205790	clean_s0	1	0.07049761499617153	0.03495546212223663	-0.004878870804875617	-0.035542152873934904	0.7619587533322281	high	True	False	True	0.15640198365636132	0.07743156817596325	17	14
21	205790	contrast_s2	1	0.5736299999536558	0.5440707760761928	0.2619747661028568	-0.029559223877463014	0.17939972729961123	low	True	False	True	0.046139988278813444	0.0987393136956887	13	14
22	520433	clean_s0	1	-0.015301536430407343	-0.01576592240499354	-0.015437314320326474	-0.00046438597458619765	0.9006689822262266	high	True	False	True	2.6562824916039927	1.4253691634877812	2	2
23	520433	color_cast_s2	1	-0.0009170061749519553	0.007158932014959896	0.014878151657184266	0.008075938189911851	0.9015845204036592	high	True	False	True	0.5015459041935416	0.4897117251977685	3	2
24	5099	clean_s0	2	-0.022792120024146458	-0.01169543354661761	0.003687736381005298	0.011096686477528848	0.3341461744660417	low	True	False	True	0.0014082557861548454	0.0011794127255000406	2	2
25	5099	gamma_s2	2	-0.09117834668100258	-0.09368647629807778	-0.0942252987727378	-0.0025081296170751943	0.9581805524512812	high	True	False	True	0.12222248600130965	0.17028705822883441	2	2
26	369576	clean_s0	2	-0.06057899027875497	0.06066043990916373	0.10751684394242632	0.12123943018791869	-0.7006320201883057	low	True	False	True	0.27308108606610615	0.3950762468312736	7	7
27	369576	contrast_s2	2	0.057565738553967974	0.10830656411585593	0.045219034366577426	0.050740825561887956	-0.5496833461465878	low	True	False	True	0.17854086591939639	0.2557835053118458	4	5
28	484158	clean_s0	2	0.12026352090045184	0.12855273372536727	0.12252208038615642	0.008289212824915432	0.7834183251682143	high	True	False	True	0.19190620433815145	0.25679583776466497	11	11
29	484158	color_cast_s2	2	-0.12112029745708824	-0.12543987594695166	-0.10709514809361854	-0.004319578489863418	0.6549651032420726	low	True	False	True	0.21120814174673694	0.1124624880078037	12	10
30	536286	clean_s0	2	-0.20090862292337866	-0.12311005198833902	-0.0018902427031129308	0.07779857093503964	0.356794322865787	low	True	False	True	0.1317386910565956	0.11696935087635484	20	20
31	536286	gamma_s2	2	-0.02426990905274929	-0.03775158606327298	-0.04766956358972884	-0.01348167701052369	0.8156582160196627	high	True	False	True	0.11874663277097164	0.16418888554599892	17	15
32	10244	clean_s0	2	0.02642772555171843	0.005485726097712581	-0.01774637353065928	-0.02094199945400585	0.25220807210000856	low	True	False	True	0.08918111434725398	0.48582238716147186	7	6
33	10244	contrast_s2	2	0.06536494614169185	0.04238560944852801	-0.015068610317807773	-0.022979336693163835	-0.29594622035761653	low	True	False	True	0.13346610447773866	0.031126886146106116	6	5
34	518773	clean_s0	2	0.0017718729514653148	0.03142196605015971	0.05271514254143092	0.0296500930986944	0.5034511953160166	low	True	False	True	0.18747728036312317	0.07305698048052642	1	1
35	518773	color_cast_s2	2	0.17776288549401834	0.1469712305449841	0.10163117903772774	-0.03079165494903424	0.8069232035662888	high	True	False	True	0.5293386054852356	0.5831978730358426	1	3
36	193042	clean_s0	3	-0.011538164486841966	-0.055071640457288115	-0.061220659059513856	-0.04353347597044615	-0.12725913002224792	low	True	False	True	0.06770236882154815	0.23553377778538848	6	8
37	193042	gamma_s2	3	0.05308283322453306	-0.018527710242952286	-0.08001068215825018	-0.07161054346748535	0.0561602751816236	low	True	False	True	0.49740986678195476	0.3573410233163692	7	6
38	266587	clean_s0	3	-0.07730260945461222	-0.06188055288578597	-0.025999785273993378	0.015422056568826246	0.3934211953833955	low	True	False	True	0.10552815953805701	0.35972807784996114	16	20
39	266587	contrast_s2	3	0.6816963513097265	0.44801411020361875	-0.2158211871423154	-0.23368224110610775	-0.45933813607218893	low	True	False	True	0.6438305142102994	0.5706806664679313	20	19
40	72628	clean_s0	3	0.20595885963871036	0.1874601937855663	0.16684633355444964	-0.018498665853144053	0.9774967936186517	high	True	False	True	0.4495368702806605	0.5491375530258513	8	10
41	72628	color_cast_s2	3	0.15963078935731553	0.3367019477076265	0.43267616563227945	0.17707115835031098	0.5472924683053836	low	True	False	True	0.2860452581917849	0.2136217155698553	20	20
42	11222	clean_s0	3	-0.011999300579466207	0.0008110479388855259	0.013526579820415245	0.012810348518351732	0.7730208877135076	high	True	False	True	1.3320943799306346	1.0122448705614118	3	3
43	11222	gamma_s2	3	-0.012267164519267841	-0.001430425627207313	0.009587241874007736	0.010836738892060528	0.7550276248712683	high	True	False	True	0.4333230537427949	0.5045422991155672	3	4
44	389350	clean_s0	3	0.05787576850497417	0.07390449554702395	0.08118209001009305	0.016028727042049787	0.7701878971098194	high	True	False	True	0.000393837355092365	0.0002790300160586963	2	2
45	389350	contrast_s2	3	0.02390262741302802	0.016376188556966424	0.00868989673423751	-0.0075264388560615965	0.9805250325487966	high	True	False	True	0.007990032144368288	0.011052257506101937	2	2
46	204732	clean_s0	3	0.03928845929036094	0.06934581820213166	0.08854127413985816	0.03005735891177072	0.6989993685882367	high	True	False	True	0.07381161477496576	0.041115774950686156	20	20
