episode_index	image_id	case	block	S_hard	S_cal	Delta	norm_hard	norm_cal	cos_hard_task	cos_cal_task	norm_preservation_error	integrity_passed
360	443400	clean_s0	0	0.12978337697284542	-0.17257028235235092	-0.3023536593251963	0.11396185488405115	0.11396185488405114	0.43910691796423923	-0.5838714216213848	1.3877787807814457e-17	True
361	443400	gamma_s2	0	0.13914122562473288	0.16589493717675274	0.02675371155201986	0.17026059800829677	0.1702605980082967	0.5440998661053826	0.6487179676631177	5.551115123125783e-17	True
362	502818	clean_s0	0	-0.08658457186108133	-0.05660746794787473	0.0299771039132066	0.17988130254087695	0.17988130254087695	-0.5134444348983656	-0.33568092752316464	0.0	True
363	502818	contrast_s2	0	-0.0121573555559229	-0.06295853079607878	-0.050801175240155885	0.6348377838200276	0.6348377838200276	-0.0172136546065937	-0.08914326793167666	0.0	True
364	364470	clean_s0	0	0.004291573404981478	-0.008363036449608152	-0.012654609854589629	0.05830277187429876	0.058302771874298755	0.05258075289090647	-0.10246469336026373	6.938893903907228e-18	True
365	364470	color_cast_s2	0	0.006421835468895329	0.019492824327388237	0.013070988858492907	0.5403201598725277	0.5403201598725277	0.17079522491884444	0.5184314253184212	0.0	True
366	534711	clean_s0	0	-0.15402780241026442	0.08722539376764235	0.24125319617790678	0.1891892364646729	0.18918923646467284	-0.5506168824436822	0.31181237175829013	5.551115123125783e-17	True
367	534711	gamma_s2	0	0.0685417527664744	0.056401108110415904	-0.012140644656058491	0.2419315519155198	0.24193155191551977	0.13091392390554712	0.1077254385441845	2.7755575615628914e-17	True
368	208147	clean_s0	0	-0.07827239056193323	0.04108528425628051	0.11935767481821374	0.2720422329412291	0.27204223294122915	-0.6762750863457636	0.35497771255589067	5.551115123125783e-17	True
369	208147	contrast_s2	0	0.10417367898418127	-0.1010284148283083	-0.20520209381248955	0.03216296518767491	0.032162965187674905	0.30549936837180763	-0.29627557765661566	6.938893903907228e-18	True
370	318403	clean_s0	0	-0.02224490368984487	-0.00978211829819312	0.012462785391651748	0.16230435045728636	0.1623043504572864	-0.3247782713650024	-0.1428201045718835	2.7755575615628914e-17	True
371	318403	color_cast_s2	0	0.04900148862831525	0.009550476845084468	-0.03945101178323078	0.209295928503624	0.20929592850362394	0.3870865308096866	0.07544384983042692	5.551115123125783e-17	True
372	332912	clean_s0	0	0.07878909876890197	0.06778296073575839	-0.011006138033143584	0.0010168035754860355	0.0010168035754860353	0.7909778816322288	0.68048528960573	2.168404344971009e-19	True
373	332912	gamma_s2	0	0.022964658922552488	0.012203589862355703	-0.010761069060196785	0.0016044478918098147	0.0016044478918098152	0.41569405848347923	0.22090290193548556	4.336808689942018e-19	True
374	305223	clean_s0	0	-0.0771470788067401	-0.04684215203045778	0.03030492677628232	0.321191725302517	0.321191725302517	-0.8660235638378239	-0.5258320608726152	0.0	True
375	305223	contrast_s2	0	0.152538256239911	0.12968809736412773	-0.02285015887578326	0.8820572864519408	0.8820572864519409	0.8992420349609601	0.7645360020407784	1.1102230246251565e-16	True
376	80213	clean_s0	0	0.0284242361623679	0.0072695659586503635	-0.021154670203717536	0.23412797340091362	0.23412797340091362	0.6030600608823667	0.15423404395352652	0.0	True
377	80213	color_cast_s2	0	-0.0021898072215256006	0.008687853418694045	0.010877660640219645	0.2976765520986883	0.29767655209868826	-0.08030815245224146	0.31861501321798064	5.551115123125783e-17	True
