group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_global_generic,AP50_delta_global_generic,AP75_delta_global_generic,AP_delta_det_pseudo,AP50_delta_det_pseudo,AP75_delta_det_pseudo
aggregate,source,no_adapt,gamma_s1,23.518976897689768,36.0519801980198,25.65181518151815,0.0,0.0,0.0,0.1399889988998898,-0.11688668866886576,1.4933993399339929,1.7784278427842777,0.09563456345634824,7.17409240924092
aggregate,source,no_adapt,gamma_s2,20.50817581758176,36.13236323632363,16.584158415841586,0.0,0.0,0.0,1.0019030749228774,-0.6620854393131703,-1.2947448591012933,-0.5514926492649258,0.0,-1.0519801980198
aggregate,source,no_adapt,contrast_s1,23.21463932107496,47.96852899575672,18.935643564356436,0.0,0.0,0.0,1.0099009900990052,5.049504950495054,0.0,3.7326732673267276,17.549504950495056,-8.16831683168317
aggregate,source,no_adapt,contrast_s2,26.76258250825082,65.79001650165017,7.013201320132012,0.0,0.0,0.0,0.0,0.0,0.0,3.341584158415839,0.0,0.0
aggregate,source,no_adapt,color_cast_s1,20.91501650165016,35.396039603960396,23.59735973597359,0.0,0.0,0.0,-1.925792579257929,-2.8402840284028397,0.0,-3.0602310231023138,-1.4438943894389489,-1.051980198019803
aggregate,source,no_adapt,color_cast_s2,19.879537953795378,36.05610561056106,22.896039603960396,0.0,0.0,0.0,0.30174446016029977,0.3771805752003865,0.0,0.30174446016029977,0.3771805752003865,0.0
aggregate,source,no_adapt,clean_s0,23.83800880088009,35.17601760176018,28.86413641364137,0.0,0.0,0.0,0.9262926292629314,0.9680968096809739,1.7601760176017611,0.38778877887789,-1.9526952695269495,0.0
aggregate,source,global_generic,gamma_s1,23.378987898789877,36.16886688668867,24.15841584158416,-0.1399889988998898,0.11688668866886576,-1.4933993399339929,0.0,0.0,0.0,1.6384388438843878,0.212521252125214,5.680693069306927
aggregate,source,global_generic,gamma_s2,19.50627274265888,36.7944486756368,17.87890327494288,-1.0019030749228774,0.6620854393131703,1.2947448591012933,0.0,0.0,0.0,-1.5533957241878031,0.6620854393131703,0.2427646610814932
aggregate,source,global_generic,contrast_s1,22.204738330975953,42.919024045261665,18.935643564356436,-1.0099009900990052,-5.049504950495054,0.0,0.0,0.0,0.0,2.7227722772277225,12.5,-8.16831683168317
