config,role,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
random_2026091674,random,block_4,ssd,contrast_s1,25.39590171996809,41.02846708909447,26.272940475287825,0.020319986216338348,0.021373995842727256,0.013049528270447919,0.036403712766303054,0.16342103996155877,-0.07935222190481594
random_2026091674,random,block_4,ssd,contrast_s2,23.760731143692535,38.39318644572751,24.23461006536634,-0.0004986678691504265,-0.4048119746218992,0.05403469688477491,0.1210912502262601,-0.06603654885292132,0.04241979693449527
random_2026091674,random,block_4,ssd,color_cast_s1,24.63732102403599,39.33255702371851,25.572403156905168,0.03707254709613417,0.07591322488735286,0.06750159237955411,-0.06422786632625799,-0.18804926857988735,-0.002597749020671891
random_2026091674,random,block_4,ssd,color_cast_s2,24.205663971689845,38.98337239700408,25.26873509384609,-0.1206325068498687,0.04656641864242972,-0.17960384996872358,-0.00997694919604164,0.04359174162676949,0.04994968203867467
random_2026091674,random,block_4,ssd,clean_s0,25.41114687868075,40.75944206564578,26.27339270064388,-0.020308358534815163,-0.04238539402482422,-0.055803937991666386,0.17368180217681162,0.1248281530642048,0.19904150029629308
random_2026091674,random,block_5,source,gamma_s1,42.757201995241324,65.60379267197413,45.765308088243735,-0.06501657380070247,0.045545681997805065,-0.48476682826069095,-0.6172943071853509,-0.16607605244930435,-0.9975720169892954
random_2026091674,random,block_5,source,gamma_s2,41.92140123952639,63.28679382818003,45.34624080722913,-0.14434744990113324,-0.3375992126005256,-0.7328618578218649,0.2183561859991523,-0.3207463154000778,0.31748246024559945
random_2026091674,random,block_5,source,contrast_s1,42.005194218520074,64.22774698052991,44.363283369749176,0.14390595700467523,0.20086773805807479,0.10370196396250475,-0.16772234162562571,-0.6157530229024655,-0.20617511927123466
random_2026091674,random,block_5,source,contrast_s2,37.28034858104196,58.25341406837299,40.182636979174845,-0.205484949298812,-0.19574982637772242,0.14393509398801796,0.2683491797028703,0.8052069573987741,0.018198362451760097
random_2026091674,random,block_5,source,color_cast_s1,41.13626399009376,63.167102109856785,44.79371093119055,0.12237934764999792,0.135020530152008,0.28073525317412473,0.08448059777085293,-0.1158616158086323,0.3210814482190627
random_2026091674,random,block_5,source,color_cast_s2,40.75132955956728,62.631765258706594,43.32291830345332,0.10746458968025618,-0.12902136801064001,0.17164448816144873,-0.01638865149233837,0.05392981570008226,0.16431191601827266
random_2026091674,random,block_5,source,clean_s0,42.6892742849711,64.94590389875619,45.4667328131367,-0.023414562485440937,-0.10212658653170337,-0.14465866830005725,-0.05937979728049547,0.03254049563510275,-0.18051947938485524
random_2026091674,random,block_5,target,gamma_s1,44.711161117038465,64.98762106697089,46.87354381057546,0.13151471951590166,-0.13092739838135303,0.11818495119884642,-0.06042121814290313,-0.0824733394855226,-0.14531537689255192
random_2026091674,random,block_5,target,gamma_s2,43.28883888242641,62.151977620051746,45.35378785228591,0.2401425697374282,0.4558028328214503,0.2075899953331406,0.19234132784263225,-0.16912900880884374,0.37517275852028686
random_2026091674,random,block_5,target,contrast_s1,42.88892402352013,63.52625382945602,43.45197512214868,-0.011640776931970409,-0.19637605255338197,0.250879758560707,-0.11038534972159786,-0.08669830035495929,-0.3572289208670587
random_2026091674,random,block_5,target,contrast_s2,38.57351179861933,56.89067846834179,40.64621926289524,-0.012234012699985364,-0.2797585910361611,0.19262146244420353,0.012339838867964081,0.0006814734701876546,0.10922220834178042
random_2026091674,random,block_5,target,color_cast_s1,44.54835113333432,64.44112233912873,48.695819198804244,-0.021292352612112264,-0.02130569949951866,0.03986952363858043,-0.0024853418216841394,-0.08021866979165404,0.20103133616611868
random_2026091674,random,block_5,target,color_cast_s2,43.37212256109899,62.40932814665122,46.78966023868896,0.039278818597154874,0.12155979865485778,-0.07850271486684046,-0.1497754129621054,0.005380231554297232,-0.12513264525618184
random_2026091674,random,block_5,target,clean_s0,45.800074995756546,65.87242525363737,49.727955697459706,0.31718659319926457,0.06523149775700121,0.6785268035894132,0.04705580359724015,-0.1694106364825143,0.10793928133096542
random_2026091674,random,block_5,ssd,gamma_s1,29.64120505379218,48.21218017632376,29.527515595423743,-0.08028495296096838,0.0783993554565765,-0.4961119005548409,-0.005910884528831373,-0.5085430305308225,0.4448538421292614
random_2026091674,random,block_5,ssd,gamma_s2,28.54112176446759,46.66783823225149,28.4945883617969,-0.07456735927083291,0.01807841381616937,-0.3406315501626844,0.16976874782053675,0.10652111267203668,0.39464893365293574
random_2026091674,random,block_5,ssd,contrast_s1,30.613890396060274,49.61354698145301,31.80330951430274,0.07349226173757883,-0.021165142659146374,0.015575456077282501,0.07166657645134022,0.17821132096477732,0.12493294893685669
random_2026091674,random,block_5,ssd,contrast_s2,28.131635752091583,45.617759583454394,26.994472073820436,-0.015433458262309463,-0.023321470979958958,-0.17479400500649556,-0.39788720412896605,-0.4919982835098424,-0.34890535468847794
random_2026091674,random,block_5,ssd,color_cast_s1,29.20553478035291,48.43964276105975,28.407291566047004,0.01488308174187325,0.03506528839851697,0.07457664468903391,-0.03774202582128017,0.039133227972570905,0.06508823112528761
random_2026091674,random,block_5,ssd,color_cast_s2,28.660378459053547,47.1701019313056,28.733633709570306,0.026182312583017398,-0.026498228647686695,-0.003910995629979874,-0.0022408749043634213,0.021949960734718443,-0.07990671157276363
random_2026091674,random,block_5,ssd,clean_s0,30.59574450120791,49.80675836183616,31.72762758489575,0.11025771211577995,0.052387179464008504,0.28255195737814653,0.1880579998979226,0.44464679855393263,0.1481469267195057
random_2026091675,random,aggregate,source,gamma_s1,37.034996265616265,58.65780360053192,40.35752913318605,0.14186375664203554,0.19803991043286784,0.15453571872598437,-0.08289328030726129,0.016542700453303638,-0.027309315170015447
random_2026091675,random,aggregate,source,gamma_s2,35.196493106525864,56.285858386717216,36.74524782017243,-0.09991185274126346,0.04645266328410225,-0.2890336605415045,-0.08160918228228287,0.10291592037579012,-1.183184079048183
random_2026091675,random,aggregate,source,contrast_s1,35.97811112265993,57.16594243338885,38.9415680718883,-0.032337124356912605,0.06396785281733708,0.04488921566897508,-8.44050327464263e-05,-0.0019468796085275741,-0.018861822784138615
random_2026091675,random,aggregate,source,contrast_s2,31.163761628571457,50.40697358943886,33.20744039460762,0.015688382185596872,0.02128332959688839,0.33590521264002526,-0.09727618865421617,-0.23846543736397718,0.04981961823806724
random_2026091675,random,aggregate,source,color_cast_s1,36.524903262756006,58.14902098204847,39.80898685616974,-0.00852439933939908,-0.059231356442823735,-0.18116263936750476,-0.035900349650203056,-0.12239729973814173,0.05886471118210501
random_2026091675,random,aggregate,source,color_cast_s2,35.73594966102588,57.021945627245685,37.99378928516713,0.07795105003709502,0.17369951218119128,-0.005176213132990215,-0.010599899473051622,0.04527829685664342,-0.18389298269120835
random_2026091675,random,aggregate,source,clean_s0,37.57301560691226,59.38287412552271,40.25771371350227,-0.004827810361723861,-0.04849874020381728,-0.02419296300896212,0.013082894497307151,0.052932468946231825,0.035641221170668036
random_2026091675,random,aggregate,target,gamma_s1,38.2379629529312,57.4896408608281,39.45334798021476,0.045248169331829624,0.0009491922529636376,-0.031088914450472238,-0.04469552128985588,-0.05878643637631242,-0.07218156187325242
random_2026091675,random,aggregate,target,gamma_s2,36.54539646538358,55.37671194876701,37.6037704832486,-0.008701076759914939,0.039755610733061,-0.06684907644344817,0.09665939662840684,0.00949759009761797,0.18395527848555915
random_2026091675,random,aggregate,target,contrast_s1,37.65611890688944,56.460459047038555,38.61495622146887,0.04402266650246345,-0.04985960022227953,0.1951640326017634,-0.07426790577683695,-0.045591991668969545,-0.09347238693326876
random_2026091675,random,aggregate,target,contrast_s2,33.15400469073669,50.189513773782025,33.616099618098374,0.05306475220703821,0.021431196705512523,0.021575589488226354,-0.14216176236782618,-0.21143025663293846,-0.3543080998006709
random_2026091675,random,aggregate,target,color_cast_s1,38.16734293355156,57.195509258153656,40.35722624987013,0.01530032457284225,0.059648633433773135,-0.059395156387070935,-0.018098267884919528,-0.023753292862449538,0.03155848491513957
random_2026091675,random,aggregate,target,color_cast_s2,36.95064728846103,55.38973960339333,39.0591934488873,0.07717432980006156,0.07651231180312301,0.1360630692549658,-0.012956415507803243,0.008818834483093063,0.019051274665904394
random_2026091675,random,aggregate,target,clean_s0,39.3352575360038,58.78455661835705,41.91800373001687,0.01966975659882242,0.013616789137538277,0.19300399562967585,-0.041277564136715794,-0.026439529211330637,-0.05442102675251026
random_2026091675,random,aggregate,ssd,gamma_s1,24.154515324221077,40.45207879120351,25.053510680092128,-0.023925306259994783,0.08776983246244208,-0.012017605932262976,-0.025041597164951468,0.005175373439214592,-0.07002366359618595
random_2026091675,random,aggregate,ssd,gamma_s2,23.281498506230005,39.16920943157545,23.81225534965998,0.023769050091573818,0.0271226958655002,-0.027012064196516028,-0.0944916593658418,-0.19103163266470657,0.03344395396608357
random_2026091675,random,aggregate,ssd,contrast_s1,24.678077898814994,41.42592020093353,25.208585989559122,0.004739267045891782,0.02221936615116049,-0.03504759029060445,-0.043792704448775144,-0.036651798513448464,-0.031262200464599044
random_2026091675,random,aggregate,ssd,contrast_s2,22.858074389046983,38.81427145523748,22.477165273625246,-0.034129933075952024,-0.01303250861527383,-0.16633178482065303,-0.058147427784152605,-0.12464819048377263,0.07947457848380968
random_2026091675,random,aggregate,ssd,color_cast_s1,24.24769059914152,40.673935418919136,24.585266510126385,0.009062454652766783,-0.018607316211427527,0.023337373027834674,-0.03906047944379765,-0.05192272784353413,-0.030596625830173196
random_2026091675,random,aggregate,ssd,color_cast_s2,23.661639341406033,39.70196368606661,23.990573723473076,-0.0062677513645331695,0.01576991783103776,-0.04792135453768609,0.040817276475887954,0.04725058597013776,0.03867954148431274
random_2026091675,random,aggregate,ssd,clean_s0,24.80853354261118,41.54932931062289,25.58678606791825,-0.027395757010764688,-0.031191014145387497,-0.0019442078329545698,-0.023274423331431926,0.020196209006123622,0.004989579319597537
random_2026091675,random,block_1,source,gamma_s1,40.78170033636779,60.46490885805807,45.95015909965392,-0.20205235467217753,-0.15330969260961558,-0.19376708199337345,0.11436238413463085,-0.06692539403326814,0.15773838872071844
random_2026091675,random,block_1,source,gamma_s2,39.662850263100275,59.51090315732364,43.60675250113029,-0.02446287033268102,-0.03300804753332276,-0.052196036901364096,0.15168840942575423,0.18217803359253937,0.5356649236457789
random_2026091675,random,block_1,source,contrast_s1,39.532206869406714,59.32560904609214,42.628670763708385,-0.09185563079887049,0.030077658624594328,-0.02971323877304921,-0.04769232014892877,-0.19769244942595687,-0.4200287704331951
random_2026091675,random,block_1,source,contrast_s2,35.19574514515461,52.60584186392027,39.19691611867878,-0.15346446775431621,-0.30149453896978207,0.14494037989432051,-0.1461389246645184,-0.46418956968177216,0.7765418415103698
random_2026091675,random,block_1,source,color_cast_s1,40.54198242467977,59.68875588708842,45.18409156177289,0.01316334123312446,0.14301072165345818,-0.3102285887748635,-0.26997311053429396,-0.0662552146782569,-0.24987260731373917
random_2026091675,random,block_1,source,color_cast_s2,39.21332858911941,58.275780692855484,43.47966197356242,-0.1069576858458654,-0.06913373860293337,-0.4013065729505272,-0.041955189734721454,0.15252571361781264,0.21657081055805882
random_2026091675,random,block_1,source,clean_s0,41.260401643693186,61.541330277467324,44.849327439282746,-0.010544797734879374,-0.14023806770420144,0.3820509713019504,0.18317705386268202,0.10201224641044337,0.26005898945862804
random_2026091675,random,block_1,target,gamma_s1,42.61415713289393,59.504248283988304,46.07531484728482,-0.04068546417604346,-0.05955103786932092,-0.09448541090902873,0.31350956885921044,0.38225148798249897,0.412517268642959
random_2026091675,random,block_1,target,gamma_s2,40.798030326625096,57.849743587271675,43.75108493905074,-0.08566704228756827,-0.11984707549572704,-0.24593567022581642,0.031382234768095874,-0.12143618148682256,0.14074504769641116
random_2026091675,random,block_1,target,contrast_s1,41.61677497052851,58.175833517883255,44.145106974130734,0.190003618658241,0.17536601215017988,0.3643979554026733,-0.2829102978493092,-0.25954765448803485,-0.19302930615050506
random_2026091675,random,block_1,target,contrast_s2,37.31855810081424,52.3147394957618,39.45142847343671,0.31921660130636575,0.32460132835093747,0.30310875699848805,-0.16149455295100257,-0.25992469341594715,0.0687119236365441
random_2026091675,random,block_1,target,color_cast_s1,42.52334019905567,59.38543613240578,44.505035639162074,0.012496013104845716,0.081653049713859,-0.22361879131806428,-0.07296279526640137,-0.02187022697884844,-0.024375673165127898
random_2026091675,random,block_1,target,color_cast_s2,40.65867893545739,57.38923189114288,42.240246103945644,0.03969571522066673,0.07371208600271961,-0.0014459312079107,0.0463126289199034,-0.0399435877352472,0.1340939098411431
random_2026091675,random,block_1,target,clean_s0,43.37543323970347,60.54558226633462,46.4380705303188,0.045846218345990675,-0.1684691285062101,0.2028103589494401,-0.02179039037917274,-0.12618261481156523,-0.2740500130369694
random_2026091675,random,block_1,ssd,gamma_s1,29.042954227812494,45.816160968513316,30.844732939585835,-0.005315324271515376,0.0760106227699564,0.00796112505936919,-0.029588392381729722,0.09618196802573253,-0.2152942644236211
random_2026091675,random,block_1,ssd,gamma_s2,28.27456376529635,44.458850472781904,28.969639118322565,-0.020402544147740675,0.06456175515235918,-0.07683960194989625,0.035875202119167726,-0.04805720464282626,-0.32055774281463667
random_2026091675,random,block_1,ssd,contrast_s1,29.185128767661254,45.97607946026181,30.33172550506698,-0.04404805764579578,-0.18013469667461646,0.038405076405423344,-0.008200336016767062,-0.5159349601716323,0.056499535007231705
random_2026091675,random,block_1,ssd,contrast_s2,27.54572835601314,43.52981989496615,27.52270246944591,-0.048626959908742995,0.020806217027707907,-0.12141999441976914,-0.1705117409825485,-0.35863101016949117,-0.15070125908975274
random_2026091675,random,block_1,ssd,color_cast_s1,28.623753409197565,45.67729450115053,29.907529587835295,-0.049997973479892766,-0.17241999680112086,0.0016849520242001592,-0.03653703784823881,-0.015147532329368163,-0.12087833413078619
random_2026091675,random,block_1,ssd,color_cast_s2,27.743135940898352,43.74502523169914,28.820181456064088,-0.0013032611524244064,0.0020607123918769954,-0.0034923828599653373,0.06672840655297385,0.011078761957733496,0.11353889567954356
random_2026091675,random,block_1,ssd,clean_s0,29.497260122627754,46.33259726397427,30.903103578504442,-0.0355062966332198,-0.08210598436487748,0.025489641403037,-0.03321903068029819,-0.025514107473062486,-0.007997169357543132
random_2026091675,random,block_2,source,gamma_s1,42.594796347863,64.26150946574528,46.43387811906799,0.0892612495354328,-0.044397483089930745,0.0002994541264345063,-0.11139246185066232,0.0008366274008020369,-0.2035628538901324
random_2026091675,random,block_2,source,gamma_s2,40.74287043141689,61.42805109289402,44.81398579817313,0.06239008217943098,-0.059350200769481276,-0.006390633366587517,-0.05713286049031652,-0.02546379127121856,-0.31827579204927736
random_2026091675,random,block_2,source,contrast_s1,41.39372679943247,62.107224324115585,45.993593804535536,0.008041135499620156,0.14865921563003148,0.3158935986269207,-0.18023987310282763,0.09534830271594741,0.15502878025819844
random_2026091675,random,block_2,source,contrast_s2,35.9902428000727,56.77294241537311,37.30499935164174,0.028903279932135373,0.006220091459308019,0.5926578248266534,-0.10257320495303812,-0.06836421282172545,-0.718378622215915
random_2026091675,random,block_2,source,color_cast_s1,42.419052157188815,64.44320745072028,47.50155502605497,0.13905387014490622,-0.14988226478219735,-0.045599914895810834,-0.09511559192625918,0.19025005326741562,-0.04886202744328605
random_2026091675,random,block_2,source,color_cast_s2,41.10821279079868,62.60902270149792,44.47056239799617,-0.4866360385624324,-0.4497199069398383,-0.7247628512925486,-0.08202290347488761,0.08533487814863516,-0.27755802324004875
random_2026091675,random,block_2,source,clean_s0,43.617240348699966,65.46004909963685,48.10983840787115,-0.2550344030253726,-0.06987421847556297,-0.08013747159413831,0.08286411039673536,0.11968277271153793,0.2820712626580013
