episode_index	image_id	case	family	block	C_H	C_HC	C_HN	C_HCN	E	integrity_passed
14	406366	clean_s0	contrast_s2	0	0.731727516910338	0.7724270622415349	0.7317308843983171	0.8271116151169586	0.09538409820662064	True
15	406366	contrast_s2	contrast_s2	0	0.6806890587826531	0.9715499369965443	0.8837801226384806	0.9940961112434826	0.31340705246082956	True
16	468972	clean_s0	color_cast_s2	0	0.6697368840567708	0.8459302789398103	0.9620034419155897	0.9855260852633266	0.31578920120655585	True
17	468972	color_cast_s2	color_cast_s2	0	0.5165857038406149	0.9552431884849907	0.519180412646892	0.9576826115871471	0.4410969077465322	True
18	275658	clean_s0	gamma_s2	0	0.13612724686943173	0.8006935536644808	0.22705546612041194	0.8218069645948342	0.6856797177254024	True
19	275658	gamma_s2	gamma_s2	0	0.9377496758536419	0.9377777146596311	0.9483328598393098	0.9511102183656754	0.013360542512033557	True
20	82794	clean_s0	contrast_s2	0	0.3755589896126212	0.6577916261414241	0.6397296338502433	0.8445405566528671	0.4689815670402459	True
21	82794	contrast_s2	contrast_s2	0	0.6809047321250817	0.9951062118432957	0.8812357043127754	0.9996886848791329	0.31878395275405114	True
22	322307	clean_s0	color_cast_s2	0	0.6217859500464539	0.7203541493286116	0.6776397893053085	0.9268674524491943	0.30508150240274046	True
23	322307	color_cast_s2	color_cast_s2	0	0.5102443020797967	0.8556164843951837	0.8254639433147659	0.8833565723511096	0.373112270271313	True
24	417744	clean_s0	gamma_s2	0	0.8848275288054928	0.9826519762785731	0.913211660026946	0.989329129064134	0.10450160025864119	True
25	417744	gamma_s2	gamma_s2	0	0.7907979652340853	0.7945840752414536	0.8209384451366207	0.8468049430594822	0.056006977825396875	True
26	484549	clean_s0	contrast_s2	0	0.6795581108147222	0.9319132220381441	0.9595783704054379	0.9658582937832214	0.28630018296849924	True
27	484549	contrast_s2	contrast_s2	0	0.17933079568158736	0.47132656798253253	0.565607059943357	0.5662257797990115	0.38689498411742407	True
28	398580	clean_s0	color_cast_s2	0	0.003786581584637189	0.02762883748614738	0.9808475385154624	0.9874651613538169	0.9836785797691797	True
29	398580	color_cast_s2	color_cast_s2	0	0.21022703166621245	0.8357528154607653	0.52506801687995	0.9109976263493067	0.7007705946830942	True
30	466211	clean_s0	gamma_s2	0	0.8033073939250581	0.8070161546596424	0.9240877299411624	0.9517627057214878	0.14845531179642968	True
31	466211	gamma_s2	gamma_s2	0	0.3568339363019794	0.8235173570682469	0.4318560102025827	0.8485814762589515	0.4917475399569721	True
32	375043	clean_s0	contrast_s2	0	0.46546668366842375	0.48085851560312715	0.9524063238326435	0.9664327091030323	0.5009660254346084	True
33	375043	contrast_s2	contrast_s2	0	0.5680032720235519	0.5938069264412013	0.7552296991223033	0.9351950879090313	0.36719181588547933	True
34	446956	clean_s0	color_cast_s2	0	0.5212717508232407	0.5523786270035262	0.527571045383071	0.5540084574394806	0.03273670661623984	True
35	446956	color_cast_s2	color_cast_s2	0	0.637603694919468	0.7095525564042999	0.6765918609601305	0.722095172756064	0.08449147783659605	True
36	172004	clean_s0	gamma_s2	0	0.3070165657084514	0.7038655586176276	0.9317571240557437	0.9807368820097306	0.6737203163012793	True
37	172004	gamma_s2	gamma_s2	0	0.3304379932417961	0.9703010322849766	0.6463080836216559	0.9720614353360538	0.6416234420942577	True
38	40957	clean_s0	contrast_s2	0	0.8831389801177375	0.9743400240337798	0.9236894264886174	0.9918516473276211	0.1087126672098836	True
39	40957	contrast_s2	contrast_s2	0	0.8311759607956276	0.8354011422344293	0.8602315519359717	0.9384716646111323	0.10729570381550468	True
40	408288	clean_s0	color_cast_s2	0	0.21965522047321773	0.8546592089650129	0.4806893388531294	0.9149151508341914	0.6952599303609737	True
41	408288	color_cast_s2	color_cast_s2	0	0.9246121093461	0.9253359146647167	0.9251457237042727	0.9253825797945462	0.0007704704484461367	True
42	67655	clean_s0	gamma_s2	0	0.02244623880445032	0.6358971857173893	0.3280566829456633	0.6627156343825048	0.6402693955780545	True
43	67655	gamma_s2	gamma_s2	0	0.37403171623938963	0.9550859584371135	0.9552388277358198	0.9564869472610966	0.582455231021707	True
44	18940	clean_s0	contrast_s2	0	0.7202498877890173	0.7753725842811866	0.8904429783948506	0.8908618025202013	0.17061191473118398	True
45	18940	contrast_s2	contrast_s2	0	0.8295452309361435	0.8747950160700573	0.9070764168567732	0.9690393038679427	0.13949407293179916	True
46	477858	clean_s0	color_cast_s2	0	0.5098366778348394	0.5708163245314836	0.5153507419278114	0.5723773016461617	0.0625406238113223	True
47	477858	color_cast_s2	color_cast_s2	0	0.640938379618765	0.6487847637069903	0.6462961680288675	0.7334579367609019	0.09251955714213689	True
48	31777	clean_s0	gamma_s2	0	0.5905117322717466	0.7619906531076982	0.9244860334161191	0.9970044969885211	0.40649276471677454	True
49	31777	gamma_s2	gamma_s2	0	0.20023937782966536	0.5502830837848114	0.3869903150899543	0.5509526598648237	0.3507132820351583	True
50	175506	clean_s0	contrast_s2	0	0.36668984228315316	0.602031854967646	0.8559890702948716	0.874909319191808	0.5082194769086549	True
51	175506	contrast_s2	contrast_s2	0	0.07875406884287361	0.1374917771820586	0.13768063959171237	0.16319356754399508	0.08443949870112147	True
52	17559	clean_s0	color_cast_s2	0	0.12556555694338414	0.18026538904721728	0.2019057861223843	0.46781308901966057	0.34224753207627645	True
53	17559	color_cast_s2	color_cast_s2	0	0.846802358366118	0.9964062052598626	0.8904494991071377	0.9964384309007397	0.14963607253462174	True
54	196817	clean_s0	gamma_s2	0	0.3626349157872566	0.4536992130381605	0.8401631321178396	0.8566755465668148	0.4940406307795582	True
55	196817	gamma_s2	gamma_s2	0	0.3931641595292666	0.8295297711862695	0.9630699927748148	0.9809730434334771	0.5878088839042106	True
56	544629	clean_s0	contrast_s2	0	0.9369710720569155	0.9455413726023874	0.9569750541199081	0.9570367217143485	0.02006564965743296	True
57	544629	contrast_s2	contrast_s2	0	0.9213198274966042	0.9219450007637855	0.967266723954745	0.9831035715888627	0.06178374409225851	True
58	101106	clean_s0	color_cast_s2	0	0.9351607916907602	0.9362367005416053	0.9509457469109248	0.9776307146559198	0.04246992296515961	True
59	101106	color_cast_s2	color_cast_s2	0	0.030106284430212873	0.836881070196479	0.7655730736398929	0.9432809791501426	0.9131746947199297	True
60	192007	clean_s0	gamma_s2	1	0.6846816912992515	0.6849869568263618	0.7247916096937556	0.8826780086721636	0.19799631737291212	True
61	192007	gamma_s2	gamma_s2	1	0.43484677288362267	0.4652947859387319	0.4353631289202558	0.4917480138461319	0.05690124096250926	True
62	408930	clean_s0	contrast_s2	1	0.8316942323820533	0.8504428963393454	0.8698634067347331	0.8700190317862273	0.03832479940417399	True
63	408930	contrast_s2	contrast_s2	1	0.7767962042598155	0.9246008289816607	0.9995381661541628	0.999574809151702	0.2227786048918865	True
64	560064	clean_s0	color_cast_s2	1	0.00857536084254379	0.5080813513522021	0.338115157450727	0.5084041291035409	0.49982876826099715	True
65	560064	color_cast_s2	color_cast_s2	1	0.7648357597712813	0.9930534662650075	0.9745938982432348	0.9939247167556493	0.22908895698436804	True
66	483144	clean_s0	gamma_s2	1	0.18428695496757183	0.9020037376274367	0.6237636366310323	0.9859015086156234	0.8016145536480516	True
67	483144	gamma_s2	gamma_s2	1	0.4604414254969121	0.6953538470232642	0.8158446113996743	0.9782636601177463	0.5178222346208343	True
68	339738	clean_s0	contrast_s2	1	0.9027242792795174	0.9029912937064991	0.9027262507669456	0.9029915534186228	0.0002672741391054334	True
69	339738	contrast_s2	contrast_s2	1	0.8032375703926213	0.8857462605156832	0.855989428065872	0.9737322215091249	0.17049465111650353	True
70	447994	clean_s0	color_cast_s2	1	0.3621517955811648	0.5877997556668227	0.9413443843477136	0.9780166347143747	0.61586483913321	True
71	447994	color_cast_s2	color_cast_s2	1	0.5660477579576947	0.5722900805592902	0.5851531066417873	0.5863011724483551	0.020253414490660426	True
72	411408	clean_s0	gamma_s2	1	0.23496760839582573	0.33391798548929075	0.8940897792208419	0.9350511298263321	0.7000835214305063	True
73	411408	gamma_s2	gamma_s2	1	0.7667759238963164	0.9144356474929523	0.8167641575549526	0.9230658767419145	0.1562899528455981	True
74	109178	clean_s0	contrast_s2	1	0.5521070798163151	0.8893125564779927	0.9158596132766839	0.9593083265747504	0.4072012467584353	True
75	109178	contrast_s2	contrast_s2	1	0.017282134270995793	0.7546919289865188	0.9425311475486081	0.9674349172862827	0.9501527830152869	True
76	517941	clean_s0	color_cast_s2	1	0.0861548712796398	0.9472946972234378	0.6479521629624178	0.9935897788444079	0.9074349075647681	True
77	517941	color_cast_s2	color_cast_s2	1	0.7056612621756974	0.7321935038031911	0.7059521527063461	0.7435119717218605	0.0378507095461631	True
78	399012	clean_s0	gamma_s2	1	0.07655171722948277	0.15522725220468	0.7611274663176099	0.8292168919617061	0.7526651747322234	True
79	399012	gamma_s2	gamma_s2	1	0.9005505537421039	0.9051974103581533	0.9869653261021722	0.9877789811266005	0.08722842738449654	True
80	182353	clean_s0	contrast_s2	1	0.08125290747775953	0.5586259700005706	0.3324253361303836	0.5837700306531834	0.502517123175424	True
81	182353	contrast_s2	contrast_s2	1	0.8463142936012424	0.8979968661287466	0.8481722825446347	0.8980012800288348	0.051686986427592396	True
82	188918	clean_s0	color_cast_s2	1	0.00803918076702609	0.9689964435274052	0.47382778579579693	0.9795428509693169	0.9715036702022908	True
83	188918	color_cast_s2	color_cast_s2	1	0.6731435405730285	0.687983992702823	0.7657619610935297	0.7752779421833402	0.10213440161031173	True
84	312117	clean_s0	gamma_s2	1	0.2498840144288746	0.5292044309949169	0.9269490958234463	0.9270398860465745	0.6771558716177	True
85	312117	gamma_s2	gamma_s2	1	0.29396987692353016	0.3305587846916532	0.8513300103444483	0.8951401409381906	0.6011702640146604	True
86	44054	clean_s0	contrast_s2	1	0.1547422491730074	0.4689067638984747	0.2943286940335421	0.4733356305022397	0.3185933813292323	True
87	44054	contrast_s2	contrast_s2	1	0.5553686505745437	0.6750828913463602	0.7409062473549995	0.7412378255664476	0.18586917499190392	True
88	108430	clean_s0	color_cast_s2	1	0.17851401021816912	0.17854849905353565	0.26377199357571735	0.26626718625696855	0.08775317603879942	True
89	108430	color_cast_s2	color_cast_s2	1	0.3530749158740785	0.622418681240379	0.9095133500160122	0.9115824003538232	0.5585074844797446	True
90	352290	clean_s0	gamma_s2	1	0.26222366089561916	0.672669365735197	0.35219265374613923	0.7753912773971984	0.5131676165015793	True
91	352290	gamma_s2	gamma_s2	1	0.9527704695134455	0.9746744054592803	0.9878999224014059	0.9888723848917718	0.0361019153783263	True
92	380449	clean_s0	contrast_s2	1	0.09566075757047403	0.3671329282032354	0.18772000401941158	0.3747279392229079	0.2790671816524339	True
93	380449	contrast_s2	contrast_s2	1	0.6787142556642837	0.7251373242376951	0.698416991637895	0.8596526552982345	0.18093839963395086	True
94	274012	clean_s0	color_cast_s2	1	0.8297876325779734	0.8520006314398727	0.8503969030445472	0.8618379686177357	0.03205033603976226	True
95	274012	color_cast_s2	color_cast_s2	1	0.8166068316865152	0.885159356098105	0.8965159143100921	0.9188711636737967	0.10226433198728158	True
96	294580	clean_s0	gamma_s2	1	0.9024098757024948	0.943080514978069	0.9048169401974663	0.9811906273389229	0.07878075163642817	True
97	294580	gamma_s2	gamma_s2	1	0.6337782172591303	0.8501071372266884	0.6531470163489046	0.8766011596878025	0.2428229424286722	True
98	322852	clean_s0	contrast_s2	1	0.3294993615942914	0.6595872323119332	0.4595863018837009	0.8977554046796776	0.5682560430853862	True
99	322852	contrast_s2	contrast_s2	1	0.8220653108552477	0.8530638046827316	0.9171159829715159	0.9467325719928605	0.12466726113761284	True
100	126375	clean_s0	color_cast_s2	1	0.03101798771462863	0.4609051762677549	0.3959997294903141	0.46146263410856486	0.4304446463939362	True
101	126375	color_cast_s2	color_cast_s2	1	0.5656475897443984	0.9028444515882996	0.5763995274156587	0.9205064736334246	0.3548588838890262	True
102	264930	clean_s0	gamma_s2	1	0.8582560868382741	0.8765298999831894	0.8620698945366548	0.8779478113451704	0.01969172450689627	True
103	264930	gamma_s2	gamma_s2	1	0.031796303570216344	0.664014404914766	0.4901602353765045	0.8225124516767133	0.7907161481064969	True
104	70626	clean_s0	contrast_s2	1	0.3770933326329857	0.5673379720940452	0.657436527656379	0.9463829875992646	0.5692896549662789	True
105	70626	contrast_s2	contrast_s2	1	0.021268904306926316	0.12895670337930007	0.7569876717011245	0.7651172782019815	0.7438483738950552	True
106	417044	clean_s0	color_cast_s2	1	0.552998280626731	0.8945803868744527	0.9001909489086735	0.9576194281425678	0.4046211475158369	True
107	417044	color_cast_s2	color_cast_s2	1	0.06983525807011595	0.5669438754565058	0.8827072501415121	0.8851567548968209	0.815321496826705	True
108	577876	clean_s0	gamma_s2	1	0.4953420648578026	0.6910086807980266	0.7223552853471615	0.8904775449670816	0.39513548010927907	True
109	577876	gamma_s2	gamma_s2	1	0.4559077418732134	0.7589692055735981	0.5948897156076853	0.778381200956642	0.32247345908342856	True
110	543570	clean_s0	contrast_s2	1	0.7962371069919446	0.8468754680430819	0.7978500848545469	0.8493506203973576	0.05311351340541304	True
111	543570	contrast_s2	contrast_s2	1	0.8879482540001454	0.9154633853077623	0.9577178609483525	0.9784983525185985	0.09055009851845308	True
112	239464	clean_s0	color_cast_s2	1	0.17737379825332808	0.7820922473180812	0.9218989127114696	0.9236268527126071	0.746253054459279	True
113	239464	color_cast_s2	color_cast_s2	1	0.2139402013086668	0.4678635457910335	0.8528147815446182	0.8844654027831015	0.6705252014744347	True
114	138258	clean_s0	gamma_s2	1	0.5761120683941586	0.5830597794509961	0.6215993834122882	0.6347185783026785	0.0586065099085199	True
115	138258	gamma_s2	gamma_s2	1	0.009654261632990973	0.2685644408597956	0.8008055365105328	0.8555960138667436	0.8459417522337526	True
116	76005	clean_s0	contrast_s2	1	0.41287193970113995	0.8616961856875123	0.7153145631617003	0.8621675206974782	0.4492955809963382	True
117	76005	contrast_s2	contrast_s2	1	0.2238310991352127	0.9154648761788996	0.9014300385693657	0.9610334649563194	0.7372023658211067	True
118	51076	clean_s0	color_cast_s2	1	0.9007147651150855	0.9007563714443323	0.900721864833199	0.9008952670063178	0.00018050189123230975	True
119	51076	color_cast_s2	color_cast_s2	1	0.4131328880093511	0.5218732237526433	0.5619363933700126	0.5747879980965224	0.16165511008717126	True
120	434637	clean_s0	gamma_s2	2	0.5981138886623021	0.6559847708375055	0.7983236587934809	0.8214098046226062	0.22329591596030407	True
121	434637	gamma_s2	gamma_s2	2	0.38408617589149674	0.4244031334388672	0.5711273546684055	0.5995278307768345	0.21544165488533773	True
122	224522	clean_s0	contrast_s2	2	0.6486633942445582	0.668651705751331	0.7838170361983733	0.8546307507089096	0.20596735646435138	True
123	224522	contrast_s2	contrast_s2	2	0.562108031511858	0.5898898832386016	0.7637634222500016	0.9385726979540294	0.37646466644217147	True
124	370843	clean_s0	color_cast_s2	2	0.19672145646376887	0.2523581159129699	0.2612573301059205	0.2627223399954849	0.06600088353171601	True
125	370843	color_cast_s2	color_cast_s2	2	0.9356475422158715	0.9698478799235033	0.9531669375084779	0.998240039471973	0.0625924972561015	True
126	214577	clean_s0	gamma_s2	2	0.5772852678164763	0.6563569361347553	0.9029131500724702	0.9038345837758909	0.3265493159594146	True
127	214577	gamma_s2	gamma_s2	2	0.21986991140919093	0.6267602547617379	0.2537190726909682	0.8535504651034471	0.6336805536942562	True
128	293371	clean_s0	contrast_s2	2	0.9285564615631016	0.9832208068921696	0.9390589695061691	0.9846717076451199	0.056115246082018344	True
129	293371	contrast_s2	contrast_s2	2	0.7480394363525545	0.7842696793446059	0.8323132025233935	0.8323551124875306	0.08431567613497604	True
130	272588	clean_s0	color_cast_s2	2	0.4934282443557259	0.6074092355552385	0.5030472337393288	0.607425051992852	0.11399680763712611	True
131	272588	color_cast_s2	color_cast_s2	2	0.8378299630416625	0.8406799738819197	0.986415640642633	0.9959076182059585	0.15807765516429606	True
132	243135	clean_s0	gamma_s2	2	0.28116769972278616	0.9067093207721372	0.2943083890783969	0.9598152042907583	0.6786475045679721	True
133	243135	gamma_s2	gamma_s2	2	0.7973904593522154	0.8560104311777951	0.8230419262454438	0.8679400344409117	0.0705495750886963	True
134	116861	clean_s0	contrast_s2	2	0.40186657221486966	0.869288420621063	0.43901093818334624	0.8754944373718435	0.47362786515697386	True
135	116861	contrast_s2	contrast_s2	2	0.7467598336645586	0.7538615171171943	0.7475761093930174	0.9557124323925354	0.2089525987279769	True
136	368879	clean_s0	color_cast_s2	2	0.942324720461554	0.9577306365079391	0.9554658032864728	0.9601602412203398	0.017835520758785806	True
137	368879	color_cast_s2	color_cast_s2	2	0.6487102408355151	0.7715740864336829	0.7108550169851255	0.9762492594822387	0.32753901864672363	True
138	208295	clean_s0	gamma_s2	2	0.4297292130288926	0.4299677985333617	0.6565513681201981	0.6835375206389234	0.25380830761003076	True
139	208295	gamma_s2	gamma_s2	2	0.2381571614806293	0.4698658523041855	0.9857169935829418	0.991525714876432	0.7533685533958028	True
140	180169	clean_s0	contrast_s2	2	0.8362582033488108	0.8484149130777034	0.8673433603005493	0.8676691426216565	0.03141093927284566	True
141	180169	contrast_s2	contrast_s2	2	0.30418199711797633	0.494242662269657	0.4390433431300983	0.9507395090996161	0.6465575119816398	True
142	244471	clean_s0	color_cast_s2	2	0.41118782028963613	0.9243805236269356	0.41953558503709637	0.9326632127881497	0.5214753924985136	True
143	244471	color_cast_s2	color_cast_s2	2	0.3976184403504489	0.8653940588929948	0.5819318056181273	0.8685649188545237	0.4709464785040748	True
144	543407	clean_s0	gamma_s2	2	0.3704096390278515	0.4622007994013784	0.977804759403142	0.984699019732363	0.6142893807045114	True
145	543407	gamma_s2	gamma_s2	2	0.3310279350152908	0.7530092492345933	0.8903125922423943	0.9180624306282663	0.5870344956129755	True
146	429819	clean_s0	contrast_s2	2	0.5309494899645362	0.818060231136744	0.963892683173168	0.9958786203179861	0.46492913035344996	True
147	429819	contrast_s2	contrast_s2	2	0.07395756512425311	0.48843937685656347	0.9344516788891493	0.9877392553418034	0.9137816902175503	True
148	27656	clean_s0	color_cast_s2	2	0.6520338699370436	0.8570818263656438	0.9676313625227357	0.9677472045831074	0.31571333464606377	True
149	27656	color_cast_s2	color_cast_s2	2	0.7961764184673413	0.844856834289243	0.7961764257803433	0.9860972403392042	0.18992082187186288	True
150	475888	clean_s0	gamma_s2	2	0.41196388285833097	0.8583028010953447	0.8609756381642449	0.9003005556071371	0.4883366727488061	True
151	475888	gamma_s2	gamma_s2	2	0.07739664489213618	0.11072881595521407	0.5967178845521638	0.7486077300594154	0.6712110851672792	True
152	319209	clean_s0	contrast_s2	2	0.7774385202626461	0.7843286627174945	0.9756834058074891	0.9967652151033436	0.21932669484069744	True
153	319209	contrast_s2	contrast_s2	2	0.8146745227316111	0.984657577916439	0.9178286708792813	0.9909519583119297	0.1762774355803186	True
154	545673	clean_s0	color_cast_s2	2	0.48829007603823893	0.4883126451148662	0.991427705608342	0.9980346145447633	0.5097445385065243	True
155	545673	color_cast_s2	color_cast_s2	2	0.11890453009601844	0.8836272162535124	0.998698171658645	0.9999707707517441	0.8810662406557257	True
156	553000	clean_s0	gamma_s2	2	0.05071856329038759	0.8359534811202084	0.45537954776653294	0.9430471004061621	0.8923285371157745	True
157	553000	gamma_s2	gamma_s2	2	0.6934455768331992	0.8680996727717771	0.7015363436773685	0.881390133890221	0.18794455705702184	True
158	101873	clean_s0	contrast_s2	2	0.4688400995889468	0.48081020946416597	0.6339716910781972	0.7257728358895843	0.2569327363006375	True
159	101873	contrast_s2	contrast_s2	2	0.7707476549533593	0.8383798936588008	0.9267126281152627	0.9306575236102681	0.15990986865690882	True
160	46059	clean_s0	color_cast_s2	2	0.8140553924037387	0.8145075895253291	0.98264870098728	0.9875488231648537	0.173493430761115	True
161	46059	color_cast_s2	color_cast_s2	2	0.9541694678154216	0.9556398687809331	0.9557424268155699	0.9703128407457331	0.01614337293031154	True
162	516993	clean_s0	gamma_s2	2	0.7432997916922668	0.8611701179131245	0.7825919325743488	0.9150008998617811	0.17170110816951434	True
163	516993	gamma_s2	gamma_s2	2	0.8665361899082844	0.8987449866999293	0.8790444323652922	0.9037903523905135	0.037254162482229125	True
164	475960	clean_s0	contrast_s2	2	0.9097269238796472	0.9098503140201337	0.9404403667742898	0.9677674919332375	0.05804056805359037	True
165	475960	contrast_s2	contrast_s2	2	0.1777538386906098	0.9465391675958625	0.7214748744855666	0.966780276512518	0.7890264378219082	True
166	561529	clean_s0	color_cast_s2	2	0.01014285304687703	0.612978604953652	0.8711711083948308	0.8957753976678545	0.8856325446209775	True
167	561529	color_cast_s2	color_cast_s2	2	0.542978781065311	0.6441814084947476	0.6972969832103485	0.7277276405211166	0.18474885945580566	True
168	27345	clean_s0	gamma_s2	2	0.6692733197348545	0.6919129593251966	0.896430817495378	0.9355506804269945	0.26627736069214003	True
169	27345	gamma_s2	gamma_s2	2	0.0007014270284053963	0.7396651958193222	0.07051431455115394	0.770937638111611	0.7702362110832056	True
170	560427	clean_s0	contrast_s2	2	0.49606644562180713	0.7882305240949404	0.9284299041304804	0.9762632845576067	0.48019683893579956	True
171	560427	contrast_s2	contrast_s2	2	0.44576460507906945	0.5651470589722092	0.6394679780194065	0.7856112009443713	0.33984659586530186	True
172	156836	clean_s0	color_cast_s2	2	0.3681641843927241	0.7242107102459628	0.553619068232558	0.7691294162420445	0.40096523184932037	True
173	156836	color_cast_s2	color_cast_s2	2	0.6617033345069724	0.7819737324371576	0.9868943871383687	0.991611129845971	0.3299077953389986	True
174	397593	clean_s0	gamma_s2	2	0.3415833759363634	0.9372226295744059	0.5050047520406388	0.9804261290072912	0.6388427530709277	True
175	397593	gamma_s2	gamma_s2	2	0.5294374636918493	0.7625817924973508	0.5296368950663028	0.9176022277515626	0.38816476405971334	True
176	311143	clean_s0	contrast_s2	2	0.6861197611474835	0.8862667941119037	0.9251056139319449	0.9284710470595307	0.24235128591204713	True
177	311143	contrast_s2	contrast_s2	2	0.4859065735947578	0.8155985680079141	0.7700355102814599	0.8231343176176497	0.33722774402289185	True
178	285826	clean_s0	color_cast_s2	2	0.8373944985862602	0.8374223674870486	0.8624742286464473	0.8632890131548515	0.025894514568591265	True
179	285826	color_cast_s2	color_cast_s2	2	0.39437323337786434	0.40250675103430494	0.538763687508641	0.5984725355588609	0.2040993021809966	True
180	365945	clean_s0	gamma_s2	3	0.943999577477171	0.9936371412122701	0.9781523055986728	0.9941597192312503	0.050160141754079346	True
181	365945	gamma_s2	gamma_s2	3	0.6915246622476673	0.6957044186674374	0.6915884279865436	0.7057814703296375	0.014256808081970163	True
182	246009	clean_s0	contrast_s2	3	0.5257535699321078	0.6896167234945725	0.7429834181654598	0.8646495944795385	0.33889602454743073	True
183	246009	contrast_s2	contrast_s2	3	0.6451398888332147	0.8862628170295838	0.6694769857885601	0.9063698713326132	0.26122998249939844	True
184	285646	clean_s0	color_cast_s2	3	0.1850367101755111	0.5979717294243595	0.8715223508999541	0.877774206040235	0.6927374958647239	True
185	285646	color_cast_s2	color_cast_s2	3	0.845447740345535	0.9934713387445253	0.8521061023849141	0.9946280066023861	0.1491802662568511	True
186	285562	clean_s0	gamma_s2	3	0.07287322791523536	0.5133774931687689	0.48672766253048416	0.9442384103094557	0.8713651823942203	True
187	285562	gamma_s2	gamma_s2	3	0.20242350189782998	0.2202387940513517	0.5134330516922915	0.7940678816816137	0.5916443797837837	True
188	486118	clean_s0	contrast_s2	3	0.6176853777707928	0.7685236185892719	0.8527486925553192	0.9336897035849513	0.3160043258141585	True
189	486118	contrast_s2	contrast_s2	3	0.06967641582170529	0.9264762600027803	0.9229811830952463	0.9633833061923854	0.8937068903706802	True
190	17766	clean_s0	color_cast_s2	3	0.7975403521559661	0.8010557868278482	0.837775807754597	0.838938337523167	0.04139798536720096	True
191	17766	color_cast_s2	color_cast_s2	3	0.39663089496641885	0.44726714018149266	0.7089409797364961	0.7820249967703014	0.3853941018038825	True
192	371360	clean_s0	gamma_s2	3	0.4152978051401276	0.8534972245891675	0.7304107328494479	0.8914554675962748	0.4761576624561472	True
193	371360	gamma_s2	gamma_s2	3	0.960078243390628	0.9668697129717767	0.9875207402591685	0.9949417360170123	0.03486349262638433	True
194	168563	clean_s0	contrast_s2	3	0.8585215601082047	0.9324850186690081	0.9139293562482655	0.9980736444108766	0.13955208430267196	True
195	168563	contrast_s2	contrast_s2	3	0.13813153742591336	0.32414094361764767	0.3182665104082778	0.6727590663373841	0.5346275289114708	True
196	294669	clean_s0	color_cast_s2	3	0.829336261999417	0.8619243097125603	0.9984804137237512	0.9989619943305835	0.1696257323311665	True
197	294669	color_cast_s2	color_cast_s2	3	0.3822190775251285	0.7525483431397816	0.8494019158747144	0.9342199572594404	0.5520008797343119	True
198	144522	clean_s0	gamma_s2	3	0.27960606640364055	0.39040367132448206	0.5193152654857544	0.5877933852810593	0.30818731887741874	True
199	144522	gamma_s2	gamma_s2	3	0.1932172523249193	0.3852389765780685	0.9565099656872235	0.9576791013468211	0.7644618490219018	True
200	261266	clean_s0	contrast_s2	3	0.5299759386294938	0.6109895737658896	0.916683398947182	0.9970123119852021	0.46703637335570836	True
201	261266	contrast_s2	contrast_s2	3	0.17355971912826992	0.5134735071729717	0.8092466643116241	0.9475244526115607	0.7739647334832908	True
202	492060	clean_s0	color_cast_s2	3	0.5708370539500732	0.6892923622534567	0.7293770023281604	0.8451239556143952	0.274286901664322	True
203	492060	color_cast_s2	color_cast_s2	3	0.3978935698049637	0.5188346600587661	0.6856192574070318	0.774982044662409	0.37708847485744534	True
204	444746	clean_s0	gamma_s2	3	0.32752811386870173	0.6569660760930177	0.9567423026276366	0.9952961741118947	0.667768060243193	True
