contrast,group,proxy,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K1,corrupted_overall,class_score_mean,loss_good_proxy_bad,0.24371859296482412,0.2174090524534687,0.26768501598903605,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,class_score_mean,loss_bad_proxy_good,0.2554438860971524,0.2299949494949495,0.2833417508417508,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,class_score_mean,loss_bad_proxy_bad,0.245393634840871,0.2185929648241206,0.271672138047138,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,class_score_mean,ties,0.002512562814070352,0.0,0.0058340661641541,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,class_score_mean,proxy_bad_given_loss_good,0.4890756302521008,0.4440516978833562,0.5300171526586621,595
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score50_mean,mean_delta,1.4323940071575358e-05,-0.0017388383752956669,0.0018651241621081152,1191
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score50_mean,loss_good_proxy_good,0.2611251049538203,0.23425334658770208,0.28872710152371167,1191
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score50_mean,loss_good_proxy_bad,0.2367758186397985,0.21052631578947367,0.2632031220809361,1191
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score50_mean,loss_bad_proxy_good,0.26280436607892527,0.2355406538139145,0.29027184597654393,1191
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score50_mean,loss_bad_proxy_bad,0.23929471032745592,0.21434379840343143,0.265001254180602,1191
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score50_mean,ties,0.0,0.0,0.0,1191
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score50_mean,proxy_bad_given_loss_good,0.47554806070826305,0.42983937251232107,0.5195251018952235,593
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score75_mean,mean_delta,-0.0009921905326486897,-0.0033481728345870414,0.00133098105992532,1137
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score75_mean,loss_good_proxy_good,0.2559366754617414,0.22996444987636788,0.2830548956375444,1137
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score75_mean,loss_good_proxy_bad,0.2339489885664028,0.20797009622134013,0.2605633802816901,1137
