contrast,group,failure,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K1,color_cast_s1,class_score,given_loss_good,0.514018691588785,0.41662735849056604,0.6078431372549019,107
source/global_generic-minus-no_adapt/K1,color_cast_s1,false_positives,loss_good_proxy_bad,0.13,0.085,0.18,200
source/global_generic-minus-no_adapt/K1,color_cast_s1,false_positives,given_loss_good,0.24074074074074073,0.16216216216216217,0.32710280373831774,108
source/global_generic-minus-no_adapt/K1,color_cast_s1,duplicates,loss_good_proxy_bad,0.045,0.02,0.075,200
source/global_generic-minus-no_adapt/K1,color_cast_s1,duplicates,given_loss_good,0.08333333333333333,0.03635815991237678,0.14000467289719626,108
source/global_generic-minus-no_adapt/K1,color_cast_s2,geometry,loss_good_proxy_bad,0.23115577889447236,0.17587939698492464,0.29,199
source/global_generic-minus-no_adapt/K1,color_cast_s2,geometry,given_loss_good,0.4742268041237113,0.38,0.5744931754315535,97
source/global_generic-minus-no_adapt/K1,color_cast_s2,class_score,loss_good_proxy_bad,0.23618090452261306,0.17766497461928935,0.2964824120603015,199
source/global_generic-minus-no_adapt/K1,color_cast_s2,class_score,given_loss_good,0.4845360824742268,0.38613861386138615,0.5825242718446602,97
source/global_generic-minus-no_adapt/K1,color_cast_s2,false_positives,loss_good_proxy_bad,0.115,0.075,0.16,200
source/global_generic-minus-no_adapt/K1,color_cast_s2,false_positives,given_loss_good,0.23469387755102042,0.15730337078651685,0.3173076923076923,98
source/global_generic-minus-no_adapt/K1,color_cast_s2,duplicates,loss_good_proxy_bad,0.02,0.005,0.04,200
source/global_generic-minus-no_adapt/K1,color_cast_s2,duplicates,given_loss_good,0.04081632653061224,0.009615384615384616,0.08572196620583714,98
source/global_generic-minus-no_adapt/K1,clean_s0,geometry,loss_good_proxy_bad,0.25125628140703515,0.19095477386934673,0.315,199
source/global_generic-minus-no_adapt/K1,clean_s0,geometry,given_loss_good,0.4716981132075472,0.37834874348032244,0.5714285714285714,106
source/global_generic-minus-no_adapt/K1,clean_s0,class_score,loss_good_proxy_bad,0.271356783919598,0.21105527638190955,0.33337499999999975,199
source/global_generic-minus-no_adapt/K1,clean_s0,class_score,given_loss_good,0.5094339622641509,0.4134510869565217,0.6020798860084572,106
source/global_generic-minus-no_adapt/K1,clean_s0,false_positives,loss_good_proxy_bad,0.17,0.12,0.225,200
source/global_generic-minus-no_adapt/K1,clean_s0,false_positives,given_loss_good,0.32075471698113206,0.23528132992327366,0.411214953271028,106
source/global_generic-minus-no_adapt/K1,clean_s0,duplicates,loss_good_proxy_bad,0.055,0.025,0.09,200
source/global_generic-minus-no_adapt/K1,clean_s0,duplicates,given_loss_good,0.10377358490566038,0.049019607843137254,0.17,106
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",geometry,loss_good_proxy_bad,0.2743682310469314,0.22007722007722008,0.3245064001186122,277
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",geometry,given_loss_good,0.5170068027210885,0.4324216216216216,0.5966015094979646,147
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",class_score,loss_good_proxy_bad,0.2779783393501805,0.2250877820196887,0.32954651855635,277
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",class_score,given_loss_good,0.5238095238095238,0.44678937700903104,0.5947712418300654,147
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",false_positives,loss_good_proxy_bad,0.14840989399293286,0.10869361667480866,0.19366231976841283,283
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",false_positives,given_loss_good,0.27631578947368424,0.20134228187919462,0.36078305952060313,152
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",duplicates,loss_good_proxy_bad,0.0353356890459364,0.016282704633813178,0.05681913195500151,283
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",duplicates,given_loss_good,0.06578947368421052,0.030671334238748654,0.10596026490066225,152
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",geometry,loss_good_proxy_bad,0.23699421965317918,0.1657125328659071,0.3048780487804878,173
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",geometry,given_loss_good,0.45555555555555555,0.3434343434343434,0.5666666666666667,90
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",class_score,loss_good_proxy_bad,0.2543352601156069,0.1893212669683258,0.32045563058454396,173
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",class_score,given_loss_good,0.4888888888888889,0.38144329896907214,0.5955115945493664,90
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",false_positives,loss_good_proxy_bad,0.1676300578034682,0.1098727422003284,0.22653120021692702,173
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",false_positives,given_loss_good,0.32222222222222224,0.22104957160342717,0.4230882352941176,90
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",duplicates,loss_good_proxy_bad,0.05202312138728324,0.02185792349726776,0.08522727272727272,173
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",duplicates,given_loss_good,0.1,0.04081632653061224,0.16483516483516483,90
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",geometry,loss_good_proxy_bad,0.24904214559386972,0.19921610885733604,0.3025250330017064,261
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",geometry,given_loss_good,0.5371900826446281,0.4563064213932891,0.620977528969621,121
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",class_score,loss_good_proxy_bad,0.2260536398467433,0.18071609747259715,0.2727364001460386,261
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",class_score,given_loss_good,0.48760330578512395,0.40322268067016753,0.5703968253968253,121
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",false_positives,loss_good_proxy_bad,0.1532567049808429,0.11023541700144625,0.19857213744300767,261
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",false_positives,given_loss_good,0.3305785123966942,0.25396520146520146,0.41304347826086957,121
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",duplicates,loss_good_proxy_bad,0.04597701149425287,0.022639381472549295,0.07114661515003479,261
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",duplicates,given_loss_good,0.09917355371900827,0.04860942556634304,0.15315315315315314,121
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",geometry,loss_good_proxy_bad,0.2401656314699793,0.2,0.281253382034632,483
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",geometry,given_loss_good,0.48945147679324896,0.42125353040858593,0.5536514884667338,237
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",class_score,loss_good_proxy_bad,0.22981366459627328,0.18902045046792415,0.27149132082669847,483
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",class_score,given_loss_good,0.46835443037974683,0.4023774062627992,0.5362976986624705,237
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",false_positives,loss_good_proxy_bad,0.10144927536231885,0.07350017763391624,0.13114842235148952,483
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",false_positives,given_loss_good,0.20675105485232068,0.15110488505747127,0.2625482625482625,237
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",duplicates,loss_good_proxy_bad,0.022774327122153208,0.009781896913928391,0.038308386282176594,483
source/global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",duplicates,given_loss_good,0.046413502109704644,0.019801001839314367,0.07658523908523904,237
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",geometry,loss_good_proxy_bad,0.27586206896551724,0.16071428571428573,0.39655172413793105,58
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",geometry,given_loss_good,0.47058823529411764,0.3055555555555556,0.6451612903225806,34
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",class_score,loss_good_proxy_bad,0.3275862068965517,0.20689655172413793,0.4482758620689655,58
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",class_score,given_loss_good,0.5588235294117647,0.3870347394540943,0.71875,34
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",false_positives,loss_good_proxy_bad,0.2542372881355932,0.15254237288135594,0.3728813559322034,59
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",false_positives,given_loss_good,0.4411764705882353,0.2727272727272727,0.6216216216216216,34
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",duplicates,loss_good_proxy_bad,0.0847457627118644,0.01694915254237288,0.15254237288135594,59
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",duplicates,given_loss_good,0.14705882352941177,0.034482758620689655,0.275,34
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",geometry,loss_good_proxy_bad,0.22580645161290322,0.0967741935483871,0.3870967741935484,31
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",geometry,given_loss_good,0.4666666666666667,0.21428571428571427,0.7222222222222222,15
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",class_score,loss_good_proxy_bad,0.25806451612903225,0.12903225806451613,0.41935483870967744,31
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",class_score,given_loss_good,0.5333333333333333,0.2727272727272727,0.7857142857142857,15
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",false_positives,loss_good_proxy_bad,0.06451612903225806,0.0,0.16129032258064516,31
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",false_positives,given_loss_good,0.13333333333333333,0.0,0.3125,15
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",duplicates,loss_good_proxy_bad,0.03225806451612903,0.0,0.0967741935483871,31
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",duplicates,given_loss_good,0.06666666666666667,0.0,0.2222222222222222,15
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",geometry,loss_good_proxy_bad,0.2558139534883721,0.13953488372093023,0.3953488372093023,43
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",geometry,given_loss_good,0.5238095238095238,0.30434782608695654,0.7334210526315784,21
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",class_score,loss_good_proxy_bad,0.20930232558139536,0.09302325581395349,0.32558139534883723,43
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",class_score,given_loss_good,0.42857142857142855,0.22714646464646465,0.6504166666666644,21
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",false_positives,loss_good_proxy_bad,0.23255813953488372,0.11627906976744186,0.37209302325581395,43
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",false_positives,given_loss_good,0.47619047619047616,0.26059782608695653,0.6875,21
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",duplicates,loss_good_proxy_bad,0.046511627906976744,0.0,0.11627906976744186,43
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",duplicates,given_loss_good,0.09523809523809523,0.0,0.25,21
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",geometry,loss_good_proxy_bad,0.23880597014925373,0.14925373134328357,0.34328358208955223,67
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",geometry,given_loss_good,0.4444444444444444,0.2893796992481203,0.6072081881533097,36
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",class_score,loss_good_proxy_bad,0.26865671641791045,0.1787313432835821,0.3880597014925373,67
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",class_score,given_loss_good,0.5,0.34285714285714286,0.6666666666666666,36
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",false_positives,loss_good_proxy_bad,0.1044776119402985,0.04440298507462689,0.19402985074626866,67
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",false_positives,given_loss_good,0.19444444444444445,0.07405149051490514,0.3333333333333333,36
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",duplicates,loss_good_proxy_bad,0.04477611940298507,0.0,0.1044776119402985,67
source/global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",duplicates,given_loss_good,0.08333333333333333,0.0,0.1860828488372091,36
source/global_generic-minus-no_adapt/K3,corrupted_overall,geometry,loss_good_proxy_bad,0.23785594639865998,0.21583333333333332,0.26046901172529313,1194
source/global_generic-minus-no_adapt/K3,corrupted_overall,geometry,given_loss_good,0.4905008635578584,0.451347994111152,0.5306903775014484,579
source/global_generic-minus-no_adapt/K3,corrupted_overall,class_score,loss_good_proxy_bad,0.2370184254606365,0.2124905303030303,0.2608333333333333,1194
source/global_generic-minus-no_adapt/K3,corrupted_overall,class_score,given_loss_good,0.48877374784110533,0.4448172598835799,0.53203490847169,579
source/global_generic-minus-no_adapt/K3,corrupted_overall,false_positives,loss_good_proxy_bad,0.1675,0.145,0.19,1200
