contrast,group,event,estimate,ci_low,ci_high,valid_observations
global_generic-minus-no_adapt/K1,clean_s0,both_duplicates,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",source_only_fail,0.2826855123674912,0.22221274175199088,0.3381845217979047,283
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",target_only_fail,0.21201413427561838,0.15893648201181315,0.27106227106227104,283
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",both_any_fail,0.13074204946996468,0.09029979595040025,0.17347293083900225,283
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",both_geometry,0.04332129963898917,0.02027027027027027,0.06875189777327935,277
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",both_class_score,0.039711191335740074,0.01492260917634052,0.06622969267384105,277
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",both_false_positives,0.014134275618374558,0.0032674433409727527,0.02962962962962963,283
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",both_duplicates,0.0035335689045936395,0.0,0.011857707509881422,283
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",source_only_fail,0.27167630057803466,0.20359281437125748,0.34091237519705725,173
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",target_only_fail,0.2023121387283237,0.13608904682274248,0.26948555718751166,173
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",both_any_fail,0.1329479768786127,0.08092485549132948,0.19101990567346366,173
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",both_geometry,0.046242774566473986,0.01666208791208791,0.08421200473092844,173
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",both_class_score,0.057803468208092484,0.022727272727272728,0.09677908113391981,173
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",both_false_positives,0.011560693641618497,0.0,0.02976190476190476,173
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [1,2)",both_duplicates,0.0,0.0,0.0,173
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",source_only_fail,0.2681992337164751,0.21454595580438562,0.3218509546879452,261
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",target_only_fail,0.24904214559386972,0.19303875303875304,0.301660589855777,261
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",both_any_fail,0.13793103448275862,0.0946969696969697,0.18315018315018314,261
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",both_geometry,0.06130268199233716,0.03408769296740995,0.08984375,261
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",both_class_score,0.03065134099616858,0.011234906926043937,0.05185555555555554,261
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",both_false_positives,0.007662835249042145,0.0,0.019762845849802372,261
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [2,4)",both_duplicates,0.0038314176245210726,0.0,0.012195121951219513,261
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",source_only_fail,0.2277432712215321,0.18863806404415923,0.2712906647807638,483
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",target_only_fail,0.2236024844720497,0.18639710070631124,0.26078667994219257,483
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",both_any_fail,0.14699792960662525,0.11649920975389479,0.17959512837393019,483
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",both_geometry,0.039337474120082816,0.023808238198087008,0.056112224448897796,483
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",both_class_score,0.053830227743271224,0.034481110305268015,0.07399310745723302,483
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",both_false_positives,0.004140786749482402,0.0,0.010504754533392302,483
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [4,inf)",both_duplicates,0.0,0.0,0.0,483
global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",source_only_fail,0.2711864406779661,0.1694915254237288,0.3898305084745763,59
global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",target_only_fail,0.1016949152542373,0.03389830508474576,0.1864406779661017,59
global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",both_any_fail,0.23728813559322035,0.13559322033898305,0.3559322033898305,59
global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",both_geometry,0.1206896551724138,0.05084745762711865,0.20689655172413793,58
global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",both_class_score,0.13793103448275862,0.06779661016949153,0.23214285714285715,58
global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",both_false_positives,0.03389830508474576,0.0,0.0847457627118644,59
global_generic-minus-no_adapt/K1,"clean_s0 ratio [0,1)",both_duplicates,0.0,0.0,0.0,59
global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",source_only_fail,0.22580645161290322,0.0967741935483871,0.3870967741935484,31
global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",target_only_fail,0.1935483870967742,0.06451612903225806,0.3225806451612903,31
global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",both_any_fail,0.16129032258064516,0.03225806451612903,0.3225806451612903,31
global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",both_geometry,0.06451612903225806,0.0,0.16129032258064516,31
global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",both_class_score,0.0,0.0,0.0,31
global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",both_false_positives,0.03225806451612903,0.0,0.0967741935483871,31
global_generic-minus-no_adapt/K1,"clean_s0 ratio [1,2)",both_duplicates,0.03225806451612903,0.0,0.0967741935483871,31
global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",source_only_fail,0.23255813953488372,0.11627906976744186,0.37209302325581395,43
global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",target_only_fail,0.20930232558139536,0.09302325581395349,0.3488372093023256,43
global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",both_any_fail,0.16279069767441862,0.06976744186046512,0.27906976744186046,43
global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",both_geometry,0.06976744186046512,0.0,0.16279069767441862,43
global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",both_class_score,0.046511627906976744,0.0,0.11627906976744186,43
global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",both_false_positives,0.0,0.0,0.0,43
global_generic-minus-no_adapt/K1,"clean_s0 ratio [2,4)",both_duplicates,0.0,0.0,0.0,43
global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",source_only_fail,0.3283582089552239,0.22388059701492538,0.44776119402985076,67
global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",target_only_fail,0.23880597014925373,0.13432835820895522,0.34328358208955223,67
global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",both_any_fail,0.07462686567164178,0.014925373134328358,0.14925373134328357,67
global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",both_geometry,0.029850746268656716,0.0,0.07462686567164178,67
global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",both_class_score,0.014925373134328358,0.0,0.04477611940298507,67
global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",both_false_positives,0.0,0.0,0.0,67
global_generic-minus-no_adapt/K1,"clean_s0 ratio [4,inf)",both_duplicates,0.0,0.0,0.0,67
global_generic-minus-no_adapt/K3,corrupted_overall,source_only_fail,0.24916666666666668,0.225,0.2725,1200
global_generic-minus-no_adapt/K3,corrupted_overall,target_only_fail,0.22333333333333333,0.19666666666666666,0.25002083333333325,1200
global_generic-minus-no_adapt/K3,corrupted_overall,both_any_fail,0.15583333333333332,0.13583333333333333,0.17585416666666656,1200
global_generic-minus-no_adapt/K3,corrupted_overall,both_geometry,0.04187604690117253,0.03098827470686767,0.052763819095477386,1194
global_generic-minus-no_adapt/K3,corrupted_overall,both_class_score,0.048576214405360134,0.03749312605752961,0.06,1194
global_generic-minus-no_adapt/K3,corrupted_overall,both_false_positives,0.021666666666666667,0.014166666666666666,0.03,1200
global_generic-minus-no_adapt/K3,corrupted_overall,both_duplicates,0.0075,0.0033333333333333335,0.0125,1200
global_generic-minus-no_adapt/K3,gamma_s1,source_only_fail,0.25,0.19,0.31,200
