episode	image_id	case	block	supports	mask_area	loss	per_object_min	per_object_median	per_object_max	S_mem	S_global	Delta_global	S_obj_current	Delta_obj	cosine_candidate_task	zero_gradient	near_zero_gradient	material_near_zero	norm_candidate	norm_task_object	norm_task_global	norm_pseudo_object	norm_pseudo_global	retrieval_cosine_mean	retrieval_cosine_min	distinct_memory_entries	distinct_classes	unique_anchor_hashes	anchor_pairwise_mean_cosine	anchor_pairwise_min_cosine
10	319359	clean_s0	0	20	0.401650390625	0.10919664055109024	0.04036760330200195	0.1065334677696228	0.1993027925491333	0.0260024727512998	-0.0408431134628901	0.0668455862141899	0.18198510302980367	-0.15598263027850387	0.13720496587570655	False	False	False	0.031126369542917257	0.18951553674588367	0.2191675633312962	0.1771507444791161	0.1299583613201793	0.8238379865884781	0.6652279496192932	35	5	18	0.6051886677742004	0.29448074102401733
11	319359	color_cast_s2	0	20	0.44365885416666667	0.12440593540668488	0.04317796230316162	0.10891899466514587	0.2573697566986084	-0.03166444956865169	0.13174492780084562	-0.16340937736949732	-0.05652963437419794	0.024865184805546246	-0.13591258827979083	False	False	False	0.0341720374047221	0.2329765768597799	0.1679590975101597	0.15429697268109557	0.2344321309068468	0.8105188451707364	0.64745032787323	40	6	19	0.5745531916618347	0.2780413031578064
12	536426	clean_s0	1	3	0.11553066666666667	0.11660977452993393	0.03309130668640137	0.14784586429595947	0.16889214515686035	-0.14272660926738387	0.03771280442097692	-0.1804394136883608	-0.00797714092796252	-0.13474946833942136	-0.7948744651079124	False	False	False	0.12279917461649918	0.17955867943143647	0.13534628633088874	0.4482658519930755	0.7323879050203228	0.8389858802159628	0.7613497972488403	12	3	3	0.43019697070121765	0.3978198170661926
13	536426	gamma_s2	1	2	0.10013866666666667	0.09670624136924744	0.03368192911148071	0.09670624136924744	0.15973055362701416	-0.03614513919744712	-0.1765467081750583	0.1404015689776112	-0.026768556709545213	-0.009376582487901908	-0.6355693129072412	False	False	False	0.06613999161071488	0.05687049148527543	0.6558295241856843	0.5711162774176024	0.636029840999518	0.8645798787474632	0.7672454118728638	8	2	2	0.49576881527900696	0.49576881527900696
14	241806	clean_s0	1	4	0.046432461873638343	0.12755464017391205	0.04567551612854004	0.10423403978347778	0.2560749650001526	-0.020040615505801475	0.07803811434369397	-0.09807872984949545	-0.2393290553561507	0.21928843985034924	-0.05552386123013653	False	False	False	0.1024316280789271	0.36093699288909925	0.11308515636928101	1.170107616838127	0.5127782084100868	0.8133520744740963	0.6812589168548584	16	4	4	0.6065706014633179	0.501162588596344
15	241806	contrast_s2	1	4	0.04922252125250972	0.09847579896450043	0.040024757385253906	0.11506861448287964	0.12374120950698853	0.08387146525103896	0.07276864424326178	0.01110282100777718	1.02046905597996	-0.9365975907289211	0.07791450635632687	False	False	False	0.16530775892132246	1.0764550681740377	1.1612061119728343	1.1619719031187554	0.18908475905849556	0.8549318537116051	0.8104790449142456	10	2	4	0.8157650828361511	0.6312545537948608
16	150546	clean_s0	1	3	0.505919077510917	0.08180952072143555	0.050289154052734375	0.06215691566467285	0.13298249244689941	-0.09402614497278504	-0.09746395695874585	0.003437811985960812	-0.07371307652592533	-0.020313068446859706	-0.8322600351293783	False	False	False	0.0201455588727712	0.11297688343623952	0.1221772450732853	0.15835156246123555	0.19108479553420932	0.8726374159256617	0.7882200479507446	7	1	3	0.9642605185508728	0.94871586561203
17	150546	color_cast_s2	1	4	0.5286810862445415	0.14363843202590942	0.05319470167160034	0.10593196749687195	0.30949509143829346	-0.0709361770188095	-0.07625022180421702	0.005314044785407521	-0.058499015756236415	-0.012437161262573083	-0.7684917589786797	False	False	False	0.033778767997495934	0.0923057094524777	0.1082232332749901	0.2371370428017857	0.2074268044627789	0.8019195683300495	0.5793704390525818	12	2	4	0.6868419647216797	0.3980039060115814
18	257196	clean_s0	1	6	0.6292415364583334	0.09548774361610413	0.049535155296325684	0.09213888645172119	0.16244184970855713	-0.11985989578584652	-0.1871644606995759	0.06730456491372938	-0.15717163150921487	0.03731173572336835	-0.7392191783912785	False	False	False	0.02324823042297362	0.1621439206323713	0.18980799674778304	0.6360267930461674	0.7333371435660258	0.8732485497991244	0.7946241497993469	19	4	6	0.6318831443786621	0.46640387177467346
19	257196	gamma_s2	1	4	0.260078125	0.10208912193775177	0.06987571716308594	0.10396042466163635	0.13055992126464844	0.4278410657893987	-0.0790135961439124	0.5068546619333111	-0.6126744254764562	1.040515491265855	0.624075169619394	False	False	False	0.07278789273629506	0.6855601482369583	0.2743674248928858	2.972022799457151	0.5461376406438005	0.8684703670442104	0.8007219433784485	13	3	4	0.6362854838371277	0.4887901246547699
20	114784	clean_s0	1	1	0.03697794117647059	0.036753058433532715	0.036753058433532715	0.036753058433532715	0.036753058433532715	-0.026716943163838394	0.00242119148067806	-0.029138134644516454	-0.017737327984781573	-0.008979615179056821	-0.6595463361831735	False	False	False	0.02779553942998697	0.04050806091867908	0.010176437076535018	0.001465850615465827	0.0011732873494690963	0.9264219403266907	0.902194619178772	4	1	1		
21	114784	contrast_s2	1	1	0.03705882352941177	0.04668349027633667	0.04668349027633667	0.04668349027633667	0.04668349027633667	0.04180777181968664	0.012065761243536475	0.02974201057615016	0.00016828716978388594	0.041639484649902754	0.5574795257831074	False	False	False	0.12342859803968907	0.07499427312832124	0.056914943243704136	0.10748873274628072	0.10613432343945893	0.9154675900936127	0.9067858457565308	4	1	1		
22	398305	clean_s0	1	5	0.46043466522678184	0.1641276776790619	0.08022093772888184	0.1738663911819458	0.24374520778656006	-0.0025022496017848084	0.11971039617970973	-0.12221264578149454	0.005057482054111366	-0.007559731655896174	-0.025538494977729146	False	False	False	0.09315992262280337	0.09797952479164321	0.16386756437974587	0.6561672872064356	0.709346634678364	0.7494741827249527	0.6095484495162964	17	3	5	0.577754557132721	0.4610000252723694
23	398305	color_cast_s2	1	6	0.4876822354211663	0.1639113575220108	0.09231716394424438	0.164448082447052	0.23707211017608643	0.10490702363929663	0.018822364552336074	0.08608465908696056	0.0937193264726327	0.011187697166663929	0.8611501729699201	False	False	False	0.06216938270385735	0.12182198521679732	0.18615152892712694	0.6930290196982264	0.6359587391280331	0.7605047325293223	0.617021381855011	23	4	6	0.645301103591919	0.4562709331512451
24	285784	clean_s0	2	6	0.010079520089285714	0.09944270551204681	0.06598198413848877	0.09837707877159119	0.13062787055969238	0.26148382279567073	0.15528933601534325	0.10619448678032747	-0.16131141950198769	0.4227952422976584	0.7140720817681949	False	False	False	0.03525686101582363	0.3661868731173434	0.213123459785226	0.06294806557015102	0.010793141355740703	0.8125085482994715	0.7213581800460815	13	2	6	0.7215767502784729	0.46584856510162354
25	285784	gamma_s2	2	6	0.010323660714285714	0.09489399194717407	0.06530129909515381	0.09968972206115723	0.1185082197189331	0.027326220620821653	0.14007843896564143	-0.11275221834481977	0.04029414461336612	-0.012967923992544466	0.13549135626138986	False	False	False	0.049404501713559215	0.20168239048885916	0.17079719304241855	0.06014697714841906	0.018774552249632814	0.8188469260931015	0.7315390110015869	14	2	6	0.7138481736183167	0.46584856510162354
26	102469	clean_s0	2	8	0.9990690104166667	0.1158636212348938	0.059471070766448975	0.10247844457626343	0.20159494876861572	-0.07270525318838233	-0.10801650431064291	0.03531125112226058	-0.10469080438697942	0.031985551198597084	-0.5319702791155341	False	False	False	0.03383956983144194	0.13667164509906884	0.13932326019639205	1.08808907048662	1.095971400670977	0.8243772983551025	0.7047625184059143	28	5	8	0.6365658044815063	0.4319036602973938
27	102469	contrast_s2	2	3	1.0	0.13703054189682007	0.09675717353820801	0.15261101722717285	0.16172343492507935	-0.22376149677909563	0.2260316117903842	-0.44979310856947985	0.2260316117903842	-0.44979310856947985	-0.38134549421281727	False	False	False	0.11196082226981094	0.5867684296178408	0.5867684296178408	0.5567764744297333	0.5567764744297333	0.8003900498151779	0.7371746301651001	9	2	3	0.6650378704071045	0.49268779158592224
28	97592	clean_s0	2	18	0.7388448844884489	0.17622652649879456	0.08139508962631226	0.14322474598884583	0.36662429571151733	-0.13396300675150707	-0.10234810797546245	-0.03161489877604462	-0.17695976608303354	0.04299675933152647	-0.5954454763052522	False	False	False	0.07138843128721852	0.22497946845549324	0.2035999909834186	0.6176618719968238	0.5757376893614382	0.7479087478584714	0.477350652217865	29	4	18	0.6827046871185303	0.35351160168647766
29	97592	color_cast_s2	2	13	0.7264290429042904	0.17903438210487366	0.09484618902206421	0.1438283920288086	0.3689446449279785	0.04121583919116657	-0.07021748673862092	0.1114333259297875	0.020230212874157504	0.02098562631700907	0.20533752090940754	False	False	False	0.064681404400567	0.20072239603003547	0.2781582061248196	0.8300017010679768	0.9059639340963281	0.7524950756476476	0.4642338752746582	22	3	13	0.7260485887527466	0.46457093954086304
30	17936	clean_s0	2	7	0.5522561331775702	0.13334675133228302	0.05489242076873779	0.12526774406433105	0.20927560329437256	-0.0034124861125005832	-0.05107600243467445	0.04766351632217387	0.0002992424619142781	-0.0037117285744148612	-0.05560914269777964	False	False	False	0.09984679893153499	0.06136555873699909	0.06026197497882222	1.157285138331787	0.8260585034569973	0.8074375114270619	0.7040959596633911	24	5	7	0.5350267887115479	0.30191314220428467
31	17936	gamma_s2	2	4	0.3951701226635514	0.15659837424755096	0.10019171237945557	0.14482620358467102	0.23654937744140625	0.11234712387079938	0.7408897518008034	-0.628542627930004	0.08654612184398267	0.02580100202681672	0.19549992408380004	False	False	False	0.15807588555670243	0.5746658184038633	0.8826506977896547	0.8029397334658275	0.48296424466472726	0.7795435674488544	0.674292802810669	16	4	4	0.505353569984436	0.446507066488266
32	285548	clean_s0	2	10	0.7411946666666667	0.12342210114002228	0.044438958168029785	0.10867595672607422	0.21893209218978882	0.06255127032474261	-0.08563955045998749	0.14819082078473012	-0.010585792702607942	0.07313706302735055	0.27440618995823113	False	False	False	0.042765954644731416	0.2279513823493797	0.15721962040396312	0.4104222866093633	0.4193544439807923	0.8129840835928916	0.659628689289093	33	7	10	0.49854886531829834	0.19775745272636414
33	285548	contrast_s2	2	10	0.650768	0.12967996299266815	0.05155056715011597	0.12211555242538452	0.2151418924331665	0.3575811250458168	0.6752005994962359	-0.3176194744504191	0.6404290729720667	-0.28284794792624995	0.3599889047226251	False	False	False	0.054683022590428315	0.9933115169976574	0.8979124627064503	0.8249194845494674	1.1059020824308932	0.807928042113781	0.6454614400863647	31	7	10	0.5271000266075134	0.2687439024448395
34	436164	clean_s0	2	5	0.4751855211081794	0.13023358583450317	0.05837070941925049	0.14424878358840942	0.1744168996810913	-0.01681335361706413	-0.051403223634105565	0.03458987001704143	-0.04542236062112327	0.028609007004059144	-0.2509278655086324	False	False	False	0.020535242439141514	0.06700472896384826	0.06468732831844144	0.026914798718980552	0.02390389229089905	0.8025803565979004	0.7074141502380371	14	3	5	0.6066035032272339	0.42506858706474304
35	436164	color_cast_s2	2	6	0.5614775725593667	0.14718613028526306	0.06297826766967773	0.15402254462242126	0.22711032629013062	0.0059863102916152475	-0.06099798498434102	0.06698429527595626	-0.07069439726900296	0.0766807075606182	0.04881817122829916	False	False	False	0.03635477256242269	0.12262463220477494	0.12628557324059816	0.12023345839322602	0.135685905071174	0.785454290608565	0.6926435828208923	16	3	6	0.5903761982917786	0.41868704557418823
36	543855	clean_s0	3	1	0.09864656690140845	0.005786120891571045	0.005786120891571045	0.005786120891571045	0.005786120891571045	0.0005372060422759232	-0.0034237494376428723	0.003960955479918795	-0.001236024985263943	0.0017732310275398663	0.14951615391299872	False	False	False	0.006053310285115669	0.0035929632237414397	0.006130205795326554	0.00019555858091659117	0.0001827203130012868	0.9849967211484909	0.977056622505188	4	1	1		
37	543855	gamma_s2	3	1	0.09925176056338028	0.004459500312805176	0.004459500312805176	0.004459500312805176	0.004459500312805176	-0.0028238347198487777	-1.7924799311140008e-05	-0.0028059099205376375	0.0008890166755120802	-0.003712851395360858	-0.6759118506394215	False	False	False	0.004442874961598745	0.004177815077236744	0.003037464183877689	0.00013698433476620056	0.00010145300532829891	0.9863110035657883	0.9808828234672546	4	1	1		
38	465449	clean_s0	3	1	0.33816598360655736	0.0487823486328125	0.0487823486328125	0.0487823486328125	0.0487823486328125	0.006242764068810656	0.007416185922004362	-0.0011734218531937058	0.006667333610830129	-0.00042456954201947235	0.5224265627671976	False	False	False	0.15653734466502206	0.011949553322449308	0.014287932914869086	0.002928170807087077	0.0030972824043119986	0.925658255815506	0.9205094575881958	4	1	1		
39	465449	contrast_s2	3	1	0.3399590163934426	0.06957286596298218	0.06957286596298218	0.06957286596298218	0.06957286596298218	0.015901142780637288	-0.011345101642414712	0.027246244423052	-0.007154690859864757	0.023055833640502045	0.5339907364516874	False	False	False	0.10797642618645292	0.029777937509639182	0.03255513314751543	0.12739588573629332	0.14113734197912908	0.8688996285200119	0.8476710319519043	4	1	1		
40	251702	clean_s0	3	20	0.47500000000000003	0.06109064444899559	0.028726398944854736	0.059969186782836914	0.09614342451095581	0.1517227861851831	0.05804583712693134	0.09367694905825175	-0.10515294391248654	0.2568757300976696	0.666331084915798	False	False	False	0.009764145459094218	0.22769879664235473	0.11867648765583709	0.04813508247556089	0.03893827547042752	0.9010883755981922	0.835457980632782	16	2	19	0.8037804961204529	0.603615939617157
41	251702	color_cast_s2	3	20	0.3830461448598131	0.061965908855199814	0.027988135814666748	0.06181478500366211	0.1115884780883789	0.19646932171122808	0.2251107319245672	-0.02864141021333913	0.16788964922118488	0.0285796724900432	0.8848340599823531	False	False	False	0.02435021128725123	0.22204086687532676	0.31227378933642885	0.03955534488786992	0.034684978435590624	0.8987935945391655	0.830024778842926	15	2	20	0.8160800933837891	0.614978015422821
42	57560	clean_s0	3	10	0.9034830729166667	0.11955086141824722	0.056844472885131836	0.10048025846481323	0.25278234481811523	0.1139911052914607	0.06492928963758286	0.049061815653877835	0.10642416141823445	0.007566943873226248	0.7375999068972803	False	False	False	0.032308510113692214	0.1545432750588234	0.15647027659674284	0.2247385298000501	0.19386196265517475	0.8084716767072677	0.5335212349891663	25	5	9	0.5996851921081543	0.3102574050426483
43	57560	gamma_s2	3	10	0.9078059895833334	0.14958707988262177	0.06348854303359985	0.12694287300109863	0.26851099729537964	0.10639735395851443	0.1983495996120415	-0.09195224565352705	0.11941123245826923	-0.0130138784997548	0.527961393757882	False	False	False	0.03501730768194967	0.201524875150901	0.20671907401814674	0.26644803889045204	0.267433796670282	0.7703514292836189	0.5357018709182739	25	5	10	0.6043746471405029	0.34238386154174805
44	319423	clean_s0	3	2	0.08966381195335277	0.12430763244628906	0.04857760667800903	0.12430763244628906	0.2000376582145691	-0.03461446076235992	-0.002363697784515134	-0.03225076297784479	0.047397009205667286	-0.0820114699680272	-0.5546235273149686	False	False	False	0.03635856712703642	0.06241073279182138	0.03205877744418735	0.0015944630095637705	0.002665146358049872	0.8023789674043655	0.6812258958816528	8	2	2	0.49725162982940674	0.49725162982940674
45	319423	contrast_s2	3	3	0.10714741253644315	0.1304500550031662	0.08504557609558105	0.13872551918029785	0.1675790548324585	0.10376080210116308	0.04719642859392394	0.056564373507239134	-0.003214493955529749	0.10697529605669283	0.5774784147695102	False	False	False	0.049465504578866164	0.17967910046417043	0.08443408667049741	0.14463080332811837	0.06962835017526801	0.8010950485865275	0.701775074005127	9	2	3	0.7363845109939575	0.6088667511940002
46	27070	clean_s0	3	4	0.280947265625	0.08288317918777466	0.03160715103149414	0.06768637895584106	0.16455280780792236	-0.03174782542698851	-0.027557406916666537	-0.00419041851032197	-0.020836353598171858	-0.01091147182881665	-0.6968896593904761	False	False	False	0.012711732857043988	0.04555645933569137	0.04678740918560999	0.0003362948089520751	0.0003758300057856996	0.8639462068676949	0.698261022567749	9	2	3	0.649330735206604	0.4634789824485779
47	27070	color_cast_s2	3	4	0.2805436197916667	0.08481009304523468	0.030774414539337158	0.0692330002784729	0.16999995708465576	-0.006910843365931504	-0.006378538191184532	-0.0005323051747469715	0.0024434186992768146	-0.009354262065208318	-0.27455717507638105	False	False	False	0.014223372480163044	0.025170871475111902	0.026489103385018954	0.00036673683223024755	0.00039324755733324867	0.8622784353792667	0.6940661072731018	9	2	4	0.649330735206604	0.4634789526462555
