image_id,case,half_phi3,full_phi3,phi3_ratio,same_original_support,half_update_norm_0,full_update_norm_0,half_update_norm_1,full_update_norm_1,half_update_norm_2,full_update_norm_2
776,gamma_s1,0.008214239962399006,0.016401978209614754,0.5008078816727034,True,0.03583900257945061,0.07167800515890121,0.023326363414525986,0.04734992980957031,0.02377525344491005,0.04822831228375435
776,gamma_s2,0.0079329963773489,0.013990848325192928,0.5670132498730742,True,0.046865709125995636,0.09373141825199127,0.03716792166233063,0.07900651544332504,0.03993486240506172,0.09309781342744827
776,contrast_s1,0.007374871987849474,0.014615717343986034,0.5045850172303743,True,0.02470308728516102,0.04940618574619293,0.024619802832603455,0.04885510727763176,0.024479959160089493,0.04811730980873108
776,contrast_s2,0.008239274844527245,0.015054660849273205,0.5472906315870286,True,0.032562244683504105,0.06512448936700821,0.026803256943821907,0.04470384865999222,0.02314959280192852,0.040957123041152954
776,color_cast_s1,0.008181008510291576,0.01645132154226303,0.49728579489950225,True,0.026616496965289116,0.05323299765586853,0.02761131338775158,0.055620528757572174,0.027718698605895042,0.05584806203842163
776,color_cast_s2,0.008274179883301258,0.01672477275133133,0.49472599755608726,True,0.026297282427549362,0.052594561129808426,0.0280812606215477,0.05685272067785263,0.02841213345527649,0.05819327011704445
776,clean_s0,0.005696716718375683,0.01128973625600338,0.5045925422169559,True,0.019122829660773277,0.03824564814567566,0.018964676186442375,0.037784796208143234,0.01890711300075054,0.03699447587132454
1353,gamma_s1,0.025990525260567665,0.027634749189019203,0.9405015794713679,True,0.08279852569103241,0.16559703648090363,0.09441421926021576,0.16992351412773132,0.09625912457704544,0.06732016801834106
1353,gamma_s2,0.03698473423719406,0.07292402535676956,0.5071680294148869,True,0.12029121816158295,0.2405824363231659,0.13406755030155182,0.2696968615055084,0.12131998687982559,0.2309536635875702
1353,contrast_s1,0.0066666132770478725,0.013309136964380741,0.5009050019463874,True,0.022325074300169945,0.04465014114975929,0.022222625091671944,0.04457275941967964,0.022260939702391624,0.044163621962070465
1353,contrast_s2,0.012605934403836727,0.01936933770775795,0.6508190725998704,True,0.056571707129478455,0.11314340680837631,0.0410178117454052,0.0487809032201767,0.05669284239411354,0.09185977280139923
1353,color_cast_s1,0.03172297030687332,0.06542325764894485,0.4848882713406881,True,0.07468920946121216,0.1493784338235855,0.11320049315690994,0.25502192974090576,0.13099929690361023,0.29043343663215637
1353,color_cast_s2,0.007024898659437895,0.014643453061580658,0.47972965323792327,True,0.014609690755605698,0.02921939641237259,0.06439821422100067,0.1248674988746643,0.017334699630737305,0.0316728837788105
1353,clean_s0,0.027532855048775673,0.04624629765748978,0.5953526323921113,True,0.09022483974695206,0.1804496794939041,0.1045054942369461,0.21133330464363098,0.0968487560749054,0.12857627868652344
2261,gamma_s1,0.02332635596394539,0.041985876858234406,0.5555762487158953,True,0.11771943420171738,0.23543885350227356,0.059156276285648346,0.150074765086174,0.05696451663970947,0.07433443516492844
