group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_det_pseudo_clip_radius,AP50_delta_det_pseudo_clip_radius,AP75_delta_det_pseudo_clip_radius
aggregate,source,no_adapt,gamma_s1,36.89313250897423,58.45976369009905,40.20299341446007,0.0,0.0,0.0,-0.22475703694929683,-0.1814972099795642,-0.18184503389599982
aggregate,source,no_adapt,gamma_s2,35.29640495926713,56.23940572343311,37.034281480713936,0.0,0.0,0.0,0.018302670458980597,0.05646325709168787,-0.8941504185066784
aggregate,source,no_adapt,contrast_s1,36.010448247016846,57.101974580571515,38.896678856219324,0.0,0.0,0.0,0.03225271932416618,-0.06591473242586465,-0.0637510384531137
aggregate,source,no_adapt,contrast_s2,31.14807324638586,50.38569025984197,32.8715351819676,0.0,0.0,0.0,-0.11296457083981304,-0.2597487669608656,-0.286085594401958
aggregate,source,no_adapt,color_cast_s1,36.533427662095406,58.20825233849129,39.99014949553724,0.0,0.0,0.0,-0.027375950310803976,-0.063165943295318,0.24002735054960977
aggregate,source,no_adapt,color_cast_s2,35.657998610988784,56.84824611506449,37.998965498300116,0.0,0.0,0.0,-0.08855094951014664,-0.12842121532454787,-0.17871676955821814
aggregate,source,no_adapt,clean_s0,37.57784341727398,59.43137286572653,40.281906676511234,0.0,0.0,0.0,0.017910704859031013,0.1014312091500491,0.05983418417963016
aggregate,source,det_pseudo_clip_radius,gamma_s1,37.117889545923525,58.64126090007862,40.384838448356064,0.22475703694929683,0.1814972099795642,0.18184503389599982,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,gamma_s2,35.27810228880815,56.18294246634142,37.92843189922061,-0.018302670458980597,-0.05646325709168787,0.8941504185066784,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,contrast_s1,35.97819552769268,57.167889312997374,38.96042989467244,-0.03225271932416618,0.06591473242586465,0.0637510384531137,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,contrast_s2,31.261037817225674,50.64543902680284,33.157620776369555,0.11296457083981304,0.2597487669608656,0.286085594401958,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,color_cast_s1,36.56080361240621,58.271418281786616,39.75012214498763,0.027375950310803976,0.063165943295318,-0.24002735054960977,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,color_cast_s2,35.74654956049893,56.97666733038904,38.17768226785834,0.08855094951014664,0.12842121532454787,0.17871676955821814,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,clean_s0,37.55993271241495,59.32994165657648,40.2220724923316,-0.017910704859031013,-0.1014312091500491,-0.05983418417963016,0.0,0.0,0.0
aggregate,source,det_pseudo_half_dose,gamma_s1,37.149231184727675,58.69292754468355,40.60307438834615,0.2560986757534467,0.23316385458449496,0.40008097388608554,0.03134163880414986,0.051666644604930756,0.21823593999008573
aggregate,source,det_pseudo_half_dose,gamma_s2,35.41124472588727,56.33703910449358,38.059100358024004,0.1148397666201395,0.09763338106046904,1.0248188773100686,0.1331424370791201,0.1540966381521569,0.13066845880339018
aggregate,source,det_pseudo_half_dose,contrast_s1,35.95301073038975,57.120048563480786,38.714960260217104,-0.05743751662709573,0.018073982909272424,-0.18171859600222273,-0.02518479730292955,-0.04784074951659223,-0.24546963445533643
aggregate,source,det_pseudo_half_dose,contrast_s2,31.12231750510281,50.43873431704121,32.84193275030011,-0.025755741283051137,0.05304405719923633,-0.029602431667485885,-0.13872031212286418,-0.20670470976162925,-0.3156880260694439
aggregate,source,det_pseudo_half_dose,color_cast_s1,36.588613656747384,58.23985145275288,39.88174145159128,0.055185994651973935,0.03159911426158235,-0.10840804394595671,0.02781004434116996,-0.031566829033735644,0.13161930660365306
aggregate,source,det_pseudo_half_dose,color_cast_s2,35.67255059056741,56.821727993656715,38.034719836352224,0.014551979578630858,-0.026518121407781425,0.03575433805210193,-0.07399896993151578,-0.1549393367323293,-0.1429624315061162
aggregate,source,det_pseudo_half_dose,clean_s0,37.52097355306228,59.35438156762238,40.05519767306212,-0.056869864211706034,-0.0769912981041454,-0.22670900344911593,-0.03895915935267502,0.024439911045903706,-0.16687481926948577
aggregate,target,no_adapt,gamma_s1,38.19271478359937,57.48869166857514,39.48443689466523,0.0,0.0,0.0,-0.0899436906216855,-0.05973562862927606,-0.04109264742278018
aggregate,target,no_adapt,gamma_s2,36.5540975421435,55.33695633803395,37.67061955969205,0.0,0.0,0.0,0.10536047338832177,-0.030258020635443028,0.2508043549290073
aggregate,target,no_adapt,contrast_s1,37.612096240386975,56.51031864726084,38.419792188867106,0.0,0.0,0.0,-0.1182905722793004,0.004267608553309987,-0.28863641953503216
aggregate,target,no_adapt,contrast_s2,33.100939938529656,50.16808257707651,33.594524028610145,0.0,0.0,0.0,-0.1952265145748644,-0.23286145333845099,-0.37588368928889726
